Orthogroup	MFC_MF29_genes	MHP_F72C_genes
OG0000292	DR095_RS00455	EHI52_RS02625
OG0000293	DR095_RS00460	EHI52_RS02620
OG0000294	DR095_RS00470	EHI52_RS02610
OG0000295	DR095_RS00475	EHI52_RS02605
OG0000296	DR095_RS00515	EHI52_RS02565
OG0000297	DR095_RS00520	EHI52_RS02560
OG0000298	DR095_RS00980	EHI52_RS00175
OG0000299	DR095_RS00960	EHI52_RS00200
OG0000300	DR095_RS00785	EHI52_RS00385
OG0000301	DR095_RS00750	EHI52_RS00420
OG0000302	DR095_RS00745	EHI52_RS00425
OG0000303	DR095_RS00045	EHI52_RS00575
OG0000304	DR095_RS00080	EHI52_RS01145
OG0000305	DR095_RS00210	EHI52_RS02870
OG0000306	DR095_RS00290	EHI52_RS02795
OG0000307	DR095_RS00330	EHI52_RS02760
OG0000308	DR095_RS00430	EHI52_RS02660
OG0000309	DR095_RS00485	EHI52_RS02595
OG0000310	DR095_RS00560	EHI52_RS02520
OG0000311	DR095_RS00610	EHI52_RS02485
OG0000312	DR095_RS00630	EHI52_RS02470
OG0000313	DR095_RS02705	EHI52_RS01655
OG0000314	DR095_RS02775	EHI52_RS01980
OG0000315	DR095_RS02805	EHI52_RS01950
OG0000316	DR095_RS02815	EHI52_RS01940
OG0000317	DR095_RS02840	EHI52_RS01850
OG0000318	DR095_RS04005	EHI52_RS01935
OG0000319	DR095_RS01290	EHI52_RS02240
OG0000320	DR095_RS01355	EHI52_RS02370
OG0000321	DR095_RS01420	EHI52_RS01395
OG0000322	DR095_RS01465	EHI52_RS01440
OG0000323	DR095_RS02955	EHI52_RS01570
OG0000324	DR095_RS02035	EHI52_RS02280
OG0000325	DR095_RS02075	EHI52_RS00700
OG0000326	DR095_RS02170	EHI52_RS00795
OG0000327	DR095_RS02175	EHI52_RS00800
OG0000328	DR095_RS02440	EHI52_RS00885
OG0000329	DR095_RS02420	EHI52_RS00905
OG0000330	DR095_RS02235	EHI52_RS01175
OG0000331	DR095_RS01720	EHI52_RS02965
OG0000332	DR095_RS01815	EHI52_RS03130
OG0000333	DR095_RS01825	EHI52_RS03140
OG0000334	DR095_RS01890	EHI52_RS03240
OG0000335	DR095_RS03875	EHI52_RS03250
OG0000336	DR095_RS03950	EHI52_RS03400
OG0000337	DR095_RS01160	EHI52_RS03575
OG0000338	DR095_RS01120	EHI52_RS03615
OG0000339	DR095_RS01375	EHI52_RS02340
OG0000340	DR095_RS01400	EHI52_RS01375
OG0000341	DR095_RS02015	EHI52_RS02300
OG0000342	DR095_RS02105	EHI52_RS00730
OG0000343	DR095_RS01835	EHI52_RS03150
OG0000344	DR095_RS00060	EHI52_RS00590
OG0000345	DR095_RS02305	EHI52_RS01090
OG0000346	DR095_RS03945	EHI52_RS03405
OG0000347	DR095_RS01490	EHI52_RS01465
OG0000348	DR095_RS03905	EHI52_RS00805
OG0000349	DR095_RS02540	EHI52_RS03465
OG0000350	DR095_RS00295	EHI52_RS02750
OG0000351	DR095_RS00660	EHI52_RS00510
OG0000352	DR095_RS02755	EHI52_RS02000
OG0000353	DR095_RS01460	EHI52_RS01435
OG0000354	DR095_RS00110	EHI52_RS00650
OG0000355	DR095_RS03980	EHI52_RS02030
OG0000356	DR095_RS03985	EHI52_RS01945
OG0000357	DR095_RS03860	EHI52_RS03110
OG0000358	DR095_RS01800	EHI52_RS03115
OG0000359	DR095_RS03900	EHI52_RS00775
OG0000360	DR095_RS00880	EHI52_RS00285
OG0000361	DR095_RS00850	EHI52_RS00315
OG0000362	DR095_RS00540	EHI52_RS02540
OG0000363	DR095_RS01530	EHI52_RS01505
OG0000365	DR095_RS04025	EHI52_RS01905
OG0000366	DR095_RS02870	EHI52_RS01880
OG0000367	DR095_RS02860	EHI52_RS01870
OG0000368	DR095_RS01055	EHI52_RS00060
OG0000369	DR095_RS03410	EHI52_RS00025
OG0000370	DR095_RS01095	EHI52_RS00020
OG0000371	DR095_RS01100	EHI52_RS00015
OG0000372	DR095_RS01105	EHI52_RS00010
OG0000373	DR095_RS01130	EHI52_RS03605
OG0000374	DR095_RS01140	EHI52_RS03595
OG0000375	DR095_RS01285	EHI52_RS02235
OG0000376	DR095_RS01340	EHI52_RS02385
OG0000377	DR095_RS01350	EHI52_RS02375
OG0000378	DR095_RS01385	EHI52_RS01355
OG0000379	DR095_RS01455	EHI52_RS01430
OG0000380	DR095_RS01480	EHI52_RS01455
OG0000381	DR095_RS01520	EHI52_RS01495
OG0000382	DR095_RS02910	EHI52_RS01525
OG0000383	DR095_RS02950	EHI52_RS01565
OG0000384	DR095_RS00655	EHI52_RS00530
OG0000385	DR095_RS00005	EHI52_RS00535
OG0000386	DR095_RS00025	EHI52_RS00555
OG0000387	DR095_RS00050	EHI52_RS00580
OG0000388	DR095_RS03755	EHI52_RS00585
OG0000389	DR095_RS00090	EHI52_RS00630
OG0000390	DR095_RS00190	EHI52_RS02890
OG0000391	DR095_RS00200	EHI52_RS02880
OG0000392	DR095_RS00225	EHI52_RS02855
OG0000393	DR095_RS00280	EHI52_RS02800
OG0000394	DR095_RS00345	EHI52_RS02725
OG0000395	DR095_RS00350	EHI52_RS02720
OG0000396	DR095_RS02695	EHI52_RS02430
OG0000397	DR095_RS02740	EHI52_RS02015
OG0000398	DR095_RS02745	EHI52_RS02010
OG0000399	DR095_RS02790	EHI52_RS01965
OG0000400	DR095_RS01760	EHI52_RS03070
OG0000401	DR095_RS01820	EHI52_RS03135
OG0000402	DR095_RS01830	EHI52_RS03145
OG0000403	DR095_RS01840	EHI52_RS03155
OG0000404	DR095_RS03865	EHI52_RS03185
OG0000405	DR095_RS01875	EHI52_RS03200
OG0000406	DR095_RS01905	EHI52_RS03255
OG0000407	DR095_RS03880	EHI52_RS03260
OG0000408	DR095_RS01915	EHI52_RS03265
OG0000409	DR095_RS01920	EHI52_RS03270
OG0000410	DR095_RS02965	EHI52_RS03330
OG0000411	DR095_RS02975	EHI52_RS03320
OG0000412	DR095_RS02980	EHI52_RS03315
OG0000413	DR095_RS01965	EHI52_RS01580
OG0000414	DR095_RS01975	EHI52_RS01590
OG0000415	DR095_RS01980	EHI52_RS01595
OG0000416	DR095_RS01990	EHI52_RS01605
OG0000417	DR095_RS02020	EHI52_RS02295
OG0000418	DR095_RS02025	EHI52_RS02290
OG0000419	DR095_RS02085	EHI52_RS00710
OG0000420	DR095_RS02120	EHI52_RS00745
OG0000421	DR095_RS02155	EHI52_RS00780
OG0000422	DR095_RS02165	EHI52_RS00790
OG0000423	DR095_RS02480	EHI52_RS00845
OG0000424	DR095_RS02475	EHI52_RS00850
OG0000425	DR095_RS02465	EHI52_RS00860
OG0000426	DR095_RS03585	EHI52_RS00865
OG0000427	DR095_RS03920	EHI52_RS00890
OG0000428	DR095_RS02410	EHI52_RS00915
OG0000429	DR095_RS02315	EHI52_RS01080
OG0000430	DR095_RS02270	EHI52_RS01125
OG0000431	DR095_RS02260	EHI52_RS01135
OG0000432	DR095_RS02240	EHI52_RS01170
OG0000433	DR095_RS02230	EHI52_RS01185
OG0000434	DR095_RS02225	EHI52_RS01190
OG0000435	DR095_RS02210	EHI52_RS01205
OG0000436	DR095_RS01570	EHI52_RS01235
OG0000437	DR095_RS01580	EHI52_RS01245
OG0000438	DR095_RS03840	EHI52_RS01250
OG0000439	DR095_RS01590	EHI52_RS01255
OG0000440	DR095_RS03855	EHI52_RS02945
OG0000441	DR095_RS01745	EHI52_RS02985
OG0000442	DR095_RS01025	EHI52_RS00145
OG0000443	DR095_RS00965	EHI52_RS00195
OG0000444	DR095_RS00950	EHI52_RS00210
OG0000445	DR095_RS00925	EHI52_RS00235
OG0000446	DR095_RS00900	EHI52_RS00265
OG0000447	DR095_RS00895	EHI52_RS00270
OG0000448	DR095_RS00865	EHI52_RS00300
OG0000449	DR095_RS00840	EHI52_RS00325
OG0000450	DR095_RS00830	EHI52_RS00335
OG0000451	DR095_RS00790	EHI52_RS00380
OG0000452	DR095_RS00765	EHI52_RS00405
OG0000453	DR095_RS00730	EHI52_RS00440
OG0000455	DR095_RS03825	EHI52_RS03510
OG0000456	DR095_RS02615	EHI52_RS03390
OG0000457	DR095_RS02640	EHI52_RS03365
OG0000458	DR095_RS00570	EHI52_RS02510
OG0000459	DR095_RS00545	EHI52_RS02535
OG0000460	DR095_RS00535	EHI52_RS02545
OG0000461	DR095_RS00490	EHI52_RS02590
OG0000462	DR095_RS00495	EHI52_RS02585
OG0000463	DR095_RS00500	EHI52_RS02580
OG0000464	DR095_RS00505	EHI52_RS02575
OG0000465	DR095_RS00510	EHI52_RS02570
OG0000466	DR095_RS00760	EHI52_RS00410
OG0000467	DR095_RS03790	EHI52_RS02670
OG0000468	DR095_RS02785	EHI52_RS01970
OG0000469	DR095_RS03050	EHI52_RS01910
OG0000470	DR095_RS02485	EHI52_RS03650
OG0000471	DR095_RS02405	EHI52_RS00920
OG0000472	DR095_RS02665	EHI52_RS03340
OG0000473	DR095_RS02510	EHI52_RS03495
OG0000474	DR095_RS02505	EHI52_RS03500
OG0000475	DR095_RS02500	EHI52_RS03505
OG0000476	DR095_RS01220	EHI52_RS01615
OG0000477	DR095_RS00465	EHI52_RS02615
OG0000478	DR095_RS02565	EHI52_RS03440
OG0000479	DR095_RS01415	EHI52_RS01390
OG0000480	DR095_RS03245	EHI52_RS03665
OG0000481	DR095_RS02190	EHI52_RS00815
OG0000482	DR095_RS02050	EHI52_RS01275
OG0000483	DR095_RS02855	EHI52_RS01865
OG0000484	DR095_RS03800	EHI52_RS00205
OG0000485	DR095_RS01575	EHI52_RS01240
OG0000486	DR095_RS02000	EHI52_RS02315
OG0000487	DR095_RS04010	EHI52_RS01930
OG0000488	DR095_RS02885	EHI52_RS01895
OG0000489	DR095_RS01065	EHI52_RS00050
OG0000490	DR095_RS01125	EHI52_RS03610
OG0000491	DR095_RS01435	EHI52_RS01410
OG0000492	DR095_RS01510	EHI52_RS01485
OG0000493	DR095_RS00065	EHI52_RS00595
OG0000494	DR095_RS00115	EHI52_RS00655
OG0000495	DR095_RS00255	EHI52_RS02825
OG0000496	DR095_RS00265	EHI52_RS02815
OG0000497	DR095_RS00270	EHI52_RS02810
OG0000498	DR095_RS00340	EHI52_RS02730
OG0000499	DR095_RS00400	EHI52_RS02695
OG0000500	DR095_RS02750	EHI52_RS02005
OG0000501	DR095_RS01770	EHI52_RS03080
OG0000502	DR095_RS02060	EHI52_RS01265
OG0000503	DR095_RS02135	EHI52_RS00760
OG0000504	DR095_RS02430	EHI52_RS00895
OG0000505	DR095_RS02395	EHI52_RS01000
OG0000506	DR095_RS02385	EHI52_RS01010
OG0000507	DR095_RS02350	EHI52_RS01045
OG0000508	DR095_RS00905	EHI52_RS00260
OG0000509	DR095_RS00870	EHI52_RS00295
OG0000510	DR095_RS00860	EHI52_RS00305
OG0000511	DR095_RS00725	EHI52_RS00445
OG0000512	DR095_RS00530	EHI52_RS02550
OG0000513	DR095_RS02580	EHI52_RS03425
OG0000514	DR095_RS00230	EHI52_RS02850
OG0000516	DR095_RS03000	EHI52_RS01925
OG0000517	DR095_RS01050	EHI52_RS00065
OG0000518	DR095_RS01810	EHI52_RS03125
OG0000519	DR095_RS02160	EHI52_RS00785
OG0000520	DR095_RS02415	EHI52_RS00910
OG0000521	DR095_RS00890	EHI52_RS00275
OG0000522	DR095_RS00855	EHI52_RS00310
OG0000523	DR095_RS02645	EHI52_RS03360
OG0000524	DR095_RS00425	EHI52_RS02665
OG0000525	DR095_RS04060	EHI52_RS03345
OG0000528	DR095_RS03010	EHI52_RS01920
OG0000529	DR095_RS01300	EHI52_RS02250
OG0000530	DR095_RS01365	EHI52_RS02355
OG0000531	DR095_RS01485	EHI52_RS01460
