Orthogroup	MFC_MF29_genes	MHP_NCTC10127_genes
OG0000477	DR095_RS00465	EXC50_RS01465
OG0000478	DR095_RS02565	EXC50_RS02285
OG0000479	DR095_RS01415	EXC50_RS02760
OG0000480	DR095_RS03245	EXC50_RS03895
OG0000481	DR095_RS02190	EXC50_RS03270
OG0000482	DR095_RS02050	EXC50_RS02875
OG0000483	DR095_RS02855	EXC50_RS01015
OG0000484	DR095_RS03800	EXC50_RS00205
OG0000485	DR095_RS01575	EXC50_RS02920
OG0000486	DR095_RS02000	EXC50_RS01155
OG0000487	DR095_RS04010	EXC50_RS00950
OG0000488	DR095_RS02885	EXC50_RS00985
OG0000489	DR095_RS01065	EXC50_RS00050
OG0000490	DR095_RS01125	EXC50_RS02450
OG0000491	DR095_RS01435	EXC50_RS02740
OG0000492	DR095_RS01510	EXC50_RS02665
OG0000493	DR095_RS00065	EXC50_RS03505
OG0000494	DR095_RS00115	EXC50_RS03445
OG0000495	DR095_RS00255	EXC50_RS01675
OG0000496	DR095_RS00265	EXC50_RS01665
OG0000497	DR095_RS00270	EXC50_RS01660
OG0000498	DR095_RS00340	EXC50_RS01580
OG0000499	DR095_RS00400	EXC50_RS01545
OG0000500	DR095_RS02750	EXC50_RS00875
OG0000501	DR095_RS01770	EXC50_RS01905
OG0000502	DR095_RS02060	EXC50_RS02885
OG0000503	DR095_RS02135	EXC50_RS03325
OG0000504	DR095_RS02430	EXC50_RS03190
OG0000505	DR095_RS02395	EXC50_RS03155
OG0000506	DR095_RS02385	EXC50_RS03145
OG0000507	DR095_RS02350	EXC50_RS03110
OG0000508	DR095_RS00905	EXC50_RS00260
OG0000509	DR095_RS00870	EXC50_RS00295
OG0000510	DR095_RS00860	EXC50_RS00305
OG0000511	DR095_RS00725	EXC50_RS03655
OG0000512	DR095_RS00530	EXC50_RS01400
OG0000513	DR095_RS02580	EXC50_RS02270
OG0000514	DR095_RS00230	EXC50_RS01700
OG0000516	DR095_RS03000	EXC50_RS00955
OG0000517	DR095_RS01050	EXC50_RS00065
OG0000518	DR095_RS01810	EXC50_RS01945
OG0000519	DR095_RS02160	EXC50_RS03300
OG0000520	DR095_RS02415	EXC50_RS03175
OG0000521	DR095_RS00890	EXC50_RS00275
OG0000522	DR095_RS00855	EXC50_RS00310
OG0000523	DR095_RS02645	EXC50_RS02205
OG0000524	DR095_RS00425	EXC50_RS01515
OG0000525	DR095_RS04060	EXC50_RS02170
OG0000528	DR095_RS03010	EXC50_RS00960
