Orthogroup	MFC_Ms42_genes	MHP_4284_genes
OG0000425	MYF_RS02155	ABLE99_RS00815
OG0000426	MYF_RS02160	ABLE99_RS00810
OG0000427	MYF_RS02185	ABLE99_RS00785
OG0000428	MYF_RS02210	ABLE99_RS00760
OG0000429	MYF_RS02300	ABLE99_RS00665
OG0000430	MYF_RS02345	ABLE99_RS00620
OG0000431	MYF_RS02355	ABLE99_RS00610
OG0000432	MYF_RS02375	ABLE99_RS01070
OG0000433	MYF_RS02385	ABLE99_RS01085
OG0000434	MYF_RS02390	ABLE99_RS01090
OG0000435	MYF_RS02405	ABLE99_RS01105
OG0000436	MYF_RS02440	ABLE99_RS01130
OG0000437	MYF_RS02450	ABLE99_RS01140
OG0000438	MYF_RS02455	ABLE99_RS01145
OG0000439	MYF_RS02460	ABLE99_RS01150
OG0000440	MYF_RS02475	ABLE99_RS02845
OG0000442	MYF_RS00090	ABLE99_RS00145
OG0000443	MYF_RS00150	ABLE99_RS00190
OG0000444	MYF_RS00165	ABLE99_RS00205
OG0000445	MYF_RS00190	ABLE99_RS00230
OG0000446	MYF_RS00220	ABLE99_RS00255
OG0000447	MYF_RS00225	ABLE99_RS00260
OG0000448	MYF_RS00255	ABLE99_RS00290
OG0000449	MYF_RS00280	ABLE99_RS00315
OG0000450	MYF_RS00290	ABLE99_RS00325
OG0000451	MYF_RS00330	ABLE99_RS00365
OG0000452	MYF_RS00355	ABLE99_RS00390
OG0000453	MYF_RS00390	ABLE99_RS00425
OG0000454	MYF_RS03485	ABLE99_RS01530
OG0000455	MYF_RS02975	ABLE99_RS03375
OG0000456	MYF_RS02860	ABLE99_RS03255
OG0000457	MYF_RS02835	ABLE99_RS03230
OG0000458	MYF_RS01095	ABLE99_RS02410
OG0000459	MYF_RS01070	ABLE99_RS02435
OG0000460	MYF_RS01060	ABLE99_RS02445
OG0000461	MYF_RS01010	ABLE99_RS02490
OG0000462	MYF_RS01015	ABLE99_RS02485
OG0000463	MYF_RS01020	ABLE99_RS02480
OG0000464	MYF_RS01030	ABLE99_RS02475
OG0000465	MYF_RS01035	ABLE99_RS02470
OG0000466	MYF_RS00360	ABLE99_RS00395
OG0000467	MYF_RS03505	ABLE99_RS02570
OG0000468	MYF_RS01290	ABLE99_RS01880
OG0000469	MYF_RS01425	ABLE99_RS01940
OG0000470	MYF_RS02135	ABLE99_RS00835
