Orthogroup	MFC_Ms42_genes	MHP_131B_genes
OG0000333	MYF_RS02645	NB627_RS03315
OG0000334	MYF_RS02715	NB627_RS03420
OG0000335	MYF_RS02725	NB627_RS03430
OG0000336	MYF_RS02870	NB627_RS03605
OG0000337	MYF_RS03105	NB627_RS03780
OG0000338	MYF_RS03145	NB627_RS03820
OG0000339	MYF_RS01640	NB627_RS02500
OG0000340	MYF_RS01665	NB627_RS01435
OG0000341	MYF_RS01940	NB627_RS02455
OG0000342	MYF_RS02030	NB627_RS00845
OG0000343	MYF_RS02655	NB627_RS03325
OG0000344	MYF_RS00530	NB627_RS00685
OG0000345	MYF_RS02310	NB627_RS01140
OG0000346	MYF_RS02875	NB627_RS03610
OG0000347	MYF_RS01755	NB627_RS01535
OG0000348	MYF_RS02100	NB627_RS00920
OG0000349	MYF_RS02930	NB627_RS03670
OG0000350	MYF_RS03360	NB627_RS02945
OG0000351	MYF_RS00465	NB627_RS00600
OG0000352	MYF_RS01260	NB627_RS02075
OG0000353	MYF_RS01725	NB627_RS01500
OG0000354	MYF_RS00580	NB627_RS00745
OG0000355	MYF_RS01235	NB627_RS02050
OG0000356	MYF_RS01315	NB627_RS02130
OG0000357	MYF_RS02615	NB627_RS03285
OG0000358	MYF_RS02620	NB627_RS03290
OG0000359	MYF_RS02070	NB627_RS00890
OG0000360	MYF_RS00240	NB627_RS00275
OG0000361	MYF_RS00270	NB627_RS00305
OG0000362	MYF_RS01065	NB627_RS02730
OG0000363	MYF_RS01795	NB627_RS01575
OG0000365	MYF_RS01420	NB627_RS02180
OG0000366	MYF_RS01390	NB627_RS02200
OG0000367	MYF_RS01380	NB627_RS02215
OG0000368	MYF_RS00060	NB627_RS00060
OG0000369	MYF_RS00025	NB627_RS00025
OG0000370	MYF_RS00020	NB627_RS00020
OG0000371	MYF_RS00015	NB627_RS00015
OG0000372	MYF_RS00010	NB627_RS00010
OG0000373	MYF_RS03135	NB627_RS03810
OG0000374	MYF_RS03125	NB627_RS03800
OG0000375	MYF_RS01550	NB627_RS02385
OG0000376	MYF_RS01605	NB627_RS02545
OG0000377	MYF_RS01615	NB627_RS02535
OG0000378	MYF_RS01650	NB627_RS01415
OG0000379	MYF_RS01720	NB627_RS01495
OG0000380	MYF_RS01745	NB627_RS01525
OG0000381	MYF_RS01785	NB627_RS01565
OG0000382	MYF_RS01815	NB627_RS01595
OG0000383	MYF_RS01855	NB627_RS01635
OG0000384	MYF_RS00470	NB627_RS00625
OG0000385	MYF_RS00475	NB627_RS00630
OG0000386	MYF_RS00495	NB627_RS00650
OG0000387	MYF_RS00520	NB627_RS00675
OG0000388	MYF_RS00525	NB627_RS00680
OG0000389	MYF_RS00560	NB627_RS00725
OG0000390	MYF_RS00670	NB627_RS03090
OG0000391	MYF_RS00680	NB627_RS03080
OG0000392	MYF_RS00705	NB627_RS03055
OG0000393	MYF_RS00760	NB627_RS03000
OG0000394	MYF_RS00825	NB627_RS02920
OG0000395	MYF_RS00830	NB627_RS02915
OG0000396	MYF_RS01200	NB627_RS02610
OG0000397	MYF_RS01245	NB627_RS02060
OG0000398	MYF_RS01250	NB627_RS02065
OG0000399	MYF_RS01295	NB627_RS02110
OG0000400	MYF_RS02580	NB627_RS03250
OG0000401	MYF_RS02640	NB627_RS03310
OG0000402	MYF_RS02650	NB627_RS03320
OG0000403	MYF_RS02660	NB627_RS03330
OG0000405	MYF_RS02700	NB627_RS03380
OG0000406	MYF_RS02730	NB627_RS03435
OG0000407	MYF_RS02735	NB627_RS03440
OG0000408	MYF_RS02740	NB627_RS03445
OG0000409	MYF_RS02745	NB627_RS03450
OG0000410	MYF_RS02780	NB627_RS03515
OG0000411	MYF_RS02790	NB627_RS03500
OG0000412	MYF_RS02795	NB627_RS03495
OG0000413	MYF_RS01890	NB627_RS01650
OG0000414	MYF_RS01900	NB627_RS01660
OG0000415	MYF_RS01905	NB627_RS01665
OG0000416	MYF_RS01915	NB627_RS01675
OG0000417	MYF_RS01945	NB627_RS02450
