Orthogroup	MFC_Ms42_genes	MHP_111A_genes
OG0000497	MYF_RS00750	NB623_RS02985
OG0000498	MYF_RS00820	NB623_RS02900
OG0000499	MYF_RS00865	NB623_RS02865
OG0000500	MYF_RS01255	NB623_RS02165
OG0000501	MYF_RS02590	NB623_RS03220
OG0000502	MYF_RS01985	NB623_RS01320
OG0000503	MYF_RS02055	NB623_RS00765
OG0000504	MYF_RS02190	NB623_RS00905
OG0000505	MYF_RS02225	NB623_RS01065
OG0000506	MYF_RS02235	NB623_RS01075
OG0000507	MYF_RS02270	NB623_RS01110
OG0000509	MYF_RS00250	NB623_RS00275
OG0000510	MYF_RS00260	NB623_RS00285
OG0000511	MYF_RS00395	NB623_RS00420
OG0000512	MYF_RS01055	NB623_RS02715
OG0000514	MYF_RS00710	NB623_RS03025
OG0000516	MYF_RS01440	NB623_RS02090
OG0000517	MYF_RS00065	NB623_RS00065
OG0000519	MYF_RS02080	NB623_RS00795
OG0000520	MYF_RS02205	NB623_RS00920
OG0000522	MYF_RS00265	NB623_RS00290
OG0000523	MYF_RS02830	NB623_RS03540
OG0000524	MYF_RS00890	NB623_RS02840
OG0000528	MYF_RS01435	NB623_RS02080
OG0000531	MYF_RS01750	NB623_RS01520
OG0000532	MYF_RS00620	NB623_RS01745
OG0000533	MYF_RS02365	NB623_RS00595
OG0000534	MYF_RS00345	NB623_RS00370
OG0000536	MYF_RS03070	NB623_RS03735
OG0000540	MYF_RS00910	NB623_RS02805
OG0000541	MYF_RS00850	NB623_RS02880
OG0000555	MYF_RS03410	NB623_RS03080
OG0000589	MYF_RS03220	NB623_RS01010
OG0000596	MYF_RS00110	NB623_RS01870
OG0000598	MYF_RS00105	NB623_RS01875
OG0000599	MYF_RS00100	NB623_RS01880
