Orthogroup	MHP_MHP699_genes	MHP_J_genes
OG0000393	DR100_RS04725	MHJ_RS02780
OG0000394	DR100_RS02510	MHJ_RS02695
OG0000395	DR100_RS02505	MHJ_RS02690
OG0000396	DR100_RS02695	MHJ_RS02380
OG0000397	DR100_RS02000	MHJ_RS01870
OG0000398	DR100_RS01995	MHJ_RS01875
OG0000399	DR100_RS02820	MHJ_RS01925
OG0000400	DR100_RS01470	MHJ_RS03030
OG0000401	DR100_RS01530	MHJ_RS03090
OG0000402	DR100_RS01540	MHJ_RS03100
OG0000403	DR100_RS01550	MHJ_RS03110
OG0000404	DR100_RS03345	MHJ_RS03140
OG0000405	DR100_RS03365	MHJ_RS03155
OG0000406	DR100_RS03070	MHJ_RS03220
OG0000407	DR100_RS04830	MHJ_RS03225
OG0000408	DR100_RS03080	MHJ_RS03230
OG0000409	DR100_RS03085	MHJ_RS03235
OG0000410	DR100_RS03175	MHJ_RS03290
OG0000411	DR100_RS03185	MHJ_RS03280
OG0000412	DR100_RS03190	MHJ_RS03275
OG0000413	DR100_RS02405	MHJ_RS01490
OG0000414	DR100_RS02415	MHJ_RS01500
OG0000415	DR100_RS02420	MHJ_RS01505
OG0000416	DR100_RS02430	MHJ_RS01515
OG0000417	DR100_RS03220	MHJ_RS02235
OG0000418	DR100_RS03215	MHJ_RS02230
OG0000419	DR100_RS00810	MHJ_RS00690
OG0000420	DR100_RS00845	MHJ_RS00725
OG0000421	DR100_RS00880	MHJ_RS00755
OG0000422	DR100_RS00890	MHJ_RS00765
OG0000423	DR100_RS00945	MHJ_RS00820
OG0000424	DR100_RS00950	MHJ_RS00825
OG0000425	DR100_RS00960	MHJ_RS00835
OG0000426	DR100_RS04595	MHJ_RS00840
OG0000427	DR100_RS04600	MHJ_RS00865
OG0000428	DR100_RS01015	MHJ_RS00890
OG0000429	DR100_RS02890	MHJ_RS00985
OG0000430	DR100_RS02845	MHJ_RS01030
OG0000431	DR100_RS02835	MHJ_RS01040
OG0000432	DR100_RS00015	MHJ_RS01070
OG0000433	DR100_RS00030	MHJ_RS01085
OG0000434	DR100_RS00035	MHJ_RS01090
OG0000435	DR100_RS00050	MHJ_RS01105
OG0000436	DR100_RS00080	MHJ_RS01135
OG0000437	DR100_RS00090	MHJ_RS01145
OG0000438	DR100_RS00095	MHJ_RS01150
OG0000439	DR100_RS04550	MHJ_RS01155
OG0000440	DR100_RS03130	MHJ_RS02935
OG0000441	DR100_RS03170	MHJ_RS02975
OG0000442	DR100_RS01050	MHJ_RS00120
OG0000443	DR100_RS00660	MHJ_RS00165
OG0000444	DR100_RS00645	MHJ_RS00180
OG0000445	DR100_RS00620	MHJ_RS00205
OG0000446	DR100_RS00590	MHJ_RS00235
OG0000447	DR100_RS00585	MHJ_RS00240
OG0000448	DR100_RS00555	MHJ_RS00270
OG0000449	DR100_RS00530	MHJ_RS00295
OG0000450	DR100_RS00520	MHJ_RS00305
OG0000451	DR100_RS00480	MHJ_RS00345
OG0000452	DR100_RS00455	MHJ_RS00370
OG0000453	DR100_RS00420	MHJ_RS00405
OG0000454	DR100_RS01645	MHJ_RS01590
OG0000455	DR100_RS01290	MHJ_RS03480
OG0000456	DR100_RS01410	MHJ_RS03365
OG0000457	DR100_RS01435	MHJ_RS03340
OG0000458	DR100_RS01955	MHJ_RS02470
OG0000460	DR100_RS01920	MHJ_RS02505
OG0000461	DR100_RS01875	MHJ_RS02550
OG0000462	DR100_RS01880	MHJ_RS02545
OG0000463	DR100_RS01885	MHJ_RS02540
OG0000464	DR100_RS01890	MHJ_RS02535
OG0000465	DR100_RS01895	MHJ_RS02530
OG0000466	DR100_RS00450	MHJ_RS00375
OG0000467	DR100_RS04775	MHJ_RS02640
OG0000468	DR100_RS02825	MHJ_RS01920
OG0000469	DR100_RS02765	MHJ_RS01980
OG0000470	DR100_RS03815	MHJ_RS03785
OG0000471	DR100_RS01020	MHJ_RS00895
OG0000472	DR100_RS03260	MHJ_RS03300
OG0000473	DR100_RS01305	MHJ_RS03465
OG0000474	DR100_RS01300	MHJ_RS03470
OG0000475	DR100_RS01295	MHJ_RS03475
OG0000476	DR100_RS02440	MHJ_RS01525
OG0000477	DR100_RS01850	MHJ_RS02580
OG0000478	DR100_RS01360	MHJ_RS03410
OG0000479	DR100_RS00250	MHJ_RS01300
OG0000480	DR100_RS03855	MHJ_RS03770
OG0000481	DR100_RS00915	MHJ_RS00790
OG0000482	DR100_RS00130	MHJ_RS01185
OG0000483	DR100_RS02565	MHJ_RS02025
OG0000484	DR100_RS04580	MHJ_RS00175
OG0000485	DR100_RS00085	MHJ_RS01140
OG0000486	DR100_RS03240	MHJ_RS02255
OG0000487	DR100_RS04810	MHJ_RS01960
OG0000488	DR100_RS02600	MHJ_RS01995
OG0000489	DR100_RS01140	MHJ_RS00050
OG0000490	DR100_RS01200	MHJ_RS03570
OG0000491	DR100_RS00270	MHJ_RS01320
OG0000493	DR100_RS02615	MHJ_RS00565
OG0000494	DR100_RS00755	MHJ_RS00625
OG0000495	DR100_RS01755	MHJ_RS02805
OG0000496	DR100_RS01765	MHJ_RS02795
OG0000497	DR100_RS01770	MHJ_RS02790
OG0000498	DR100_RS03270	MHJ_RS02700
OG0000499	DR100_RS02480	MHJ_RS02665
OG0000500	DR100_RS01990	MHJ_RS01880
OG0000501	DR100_RS01480	MHJ_RS03040
OG0000502	DR100_RS00120	MHJ_RS01175
OG0000503	DR100_RS00860	MHJ_RS00735
OG0000504	DR100_RS00995	MHJ_RS00870
OG0000505	DR100_RS02970	MHJ_RS00905
OG0000506	DR100_RS02960	MHJ_RS00915
OG0000507	DR100_RS02925	MHJ_RS00950
OG0000508	DR100_RS00595	MHJ_RS00230
