Orthogroup	MHP_112B_genes	MFC_MF29_genes
OG0000447	NBX26_RS00255	DR095_RS00895
OG0000448	NBX26_RS00290	DR095_RS00865
OG0000449	NBX26_RS00310	DR095_RS00840
OG0000450	NBX26_RS00320	DR095_RS00830
OG0000451	NBX26_RS00360	DR095_RS00790
OG0000452	NBX26_RS00385	DR095_RS00765
OG0000453	NBX26_RS00420	DR095_RS00730
OG0000455	NBX26_RS03710	DR095_RS03825
OG0000456	NBX26_RS03590	DR095_RS02615
OG0000457	NBX26_RS03565	DR095_RS02640
OG0000458	NBX26_RS02675	DR095_RS00570
OG0000459	NBX26_RS02700	DR095_RS00545
OG0000460	NBX26_RS02710	DR095_RS00535
OG0000461	NBX26_RS02755	DR095_RS00490
OG0000462	NBX26_RS02750	DR095_RS00495
OG0000463	NBX26_RS02745	DR095_RS00500
OG0000464	NBX26_RS02740	DR095_RS00505
OG0000465	NBX26_RS02735	DR095_RS00510
OG0000466	NBX26_RS00390	DR095_RS00760
OG0000467	NBX26_RS02855	DR095_RS03790
OG0000468	NBX26_RS02135	DR095_RS02785
OG0000469	NBX26_RS02075	DR095_RS03050
OG0000470	NBX26_RS00850	DR095_RS02485
OG0000471	NBX26_RS00930	DR095_RS02405
OG0000472	NBX26_RS03515	DR095_RS02665
OG0000473	NBX26_RS03695	DR095_RS02510
OG0000474	NBX26_RS03700	DR095_RS02505
OG0000475	NBX26_RS03705	DR095_RS02500
OG0000476	NBX26_RS01685	DR095_RS01220
OG0000477	NBX26_RS02780	DR095_RS00465
OG0000478	NBX26_RS03640	DR095_RS02565
OG0000479	NBX26_RS01450	DR095_RS01415
OG0000480	NBX26_RS02070	DR095_RS03245
OG0000481	NBX26_RS00825	DR095_RS02190
OG0000482	NBX26_RS01335	DR095_RS02050
OG0000483	NBX26_RS02020	DR095_RS02855
OG0000484	NBX26_RS00195	DR095_RS03800
OG0000485	NBX26_RS01300	DR095_RS01575
OG0000486	NBX26_RS02460	DR095_RS02000
OG0000487	NBX26_RS02095	DR095_RS04010
OG0000488	NBX26_RS02055	DR095_RS02885
OG0000489	NBX26_RS00050	DR095_RS01065
OG0000490	NBX26_RS03800	DR095_RS01125
OG0000492	NBX26_RS01555	DR095_RS01510
OG0000493	NBX26_RS00580	DR095_RS00065
OG0000494	NBX26_RS00640	DR095_RS00115
OG0000495	NBX26_RS03015	DR095_RS00255
OG0000496	NBX26_RS03000	DR095_RS00265
OG0000497	NBX26_RS02995	DR095_RS00270
OG0000498	NBX26_RS02910	DR095_RS00340
OG0000499	NBX26_RS02875	DR095_RS00400
OG0000500	NBX26_RS02170	DR095_RS02750
OG0000501	NBX26_RS03235	DR095_RS01770
OG0000502	NBX26_RS01325	DR095_RS02060
OG0000503	NBX26_RS00770	DR095_RS02135
OG0000504	NBX26_RS00905	DR095_RS02430
OG0000505	NBX26_RS01070	DR095_RS02395
OG0000507	NBX26_RS01115	DR095_RS02350
OG0000508	NBX26_RS00245	DR095_RS00905
OG0000511	NBX26_RS00425	DR095_RS00725
OG0000512	NBX26_RS02715	DR095_RS00530
OG0000513	NBX26_RS03625	DR095_RS02580
OG0000514	NBX26_RS03035	DR095_RS00230
OG0000516	NBX26_RS02090	DR095_RS03000
OG0000517	NBX26_RS00065	DR095_RS01050
OG0000518	NBX26_RS03275	DR095_RS01810
OG0000521	NBX26_RS00260	DR095_RS00890
OG0000522	NBX26_RS00295	DR095_RS00855
OG0000523	NBX26_RS03560	DR095_RS02645
OG0000525	NBX26_RS03520	DR095_RS04060
OG0000528	NBX26_RS02085	DR095_RS03010
OG0000530	NBX26_RS02495	DR095_RS01365
OG0000533	NBX26_RS00600	DR095_RS02250
OG0000534	NBX26_RS00375	DR095_RS00775
OG0000535	NBX26_RS00045	DR095_RS01070
OG0000536	NBX26_RS03740	DR095_RS01195
OG0000542	NBX26_RS00345	DR095_RS00805
OG0000551	NBX26_RS03155	DR095_RS01730
OG0000555	NBX26_RS03090	DR095_RS03315
OG0000584	NBX26_RS01955	DR095_RS01670
OG0000585	NBX26_RS02360	DR095_RS03450
OG0000589	NBX26_RS01005	DR095_RS03040
OG0000596	NBX26_RS01865	DR095_RS01005
OG0000598	NBX26_RS01870	DR095_RS01010
OG0000599	NBX26_RS01875	DR095_RS01015
OG0000600	NBX26_RS01960	DR095_RS01665
OG0000602	NBX26_RS02060	DR095_RS02890
OG0000605	NBX26_RS01970	DR095_RS01645
