Orthogroup	MHP_131B_genes	MHP_KM014_genes
OG0000379	NB627_RS01495	CIB43_RS02235
OG0000380	NB627_RS01525	CIB43_RS02260
OG0000381	NB627_RS01565	CIB43_RS02300
OG0000385	NB627_RS00630	CIB43_RS01405
OG0000389	NB627_RS00725	CIB43_RS01490
OG0000394	NB627_RS02920	CIB43_RS03660
OG0000396	NB627_RS02610	CIB43_RS03350
OG0000403	NB627_RS03330	CIB43_RS00220
OG0000405	NB627_RS03380	CIB43_RS00265
OG0000409	NB627_RS03450	CIB43_RS00345
OG0000412	NB627_RS03495	CIB43_RS00390
OG0000417	NB627_RS02450	CIB43_RS03185
OG0000429	NB627_RS01130	CIB43_RS01885
OG0000430	NB627_RS01175	CIB43_RS01925
OG0000434	NB627_RS01235	CIB43_RS01985
OG0000436	NB627_RS01275	CIB43_RS02030
OG0000437	NB627_RS01285	CIB43_RS02065
OG0000441	NB627_RS03185	CIB43_RS03910
OG0000451	NB627_RS00380	CIB43_RS01085
OG0000453	NB627_RS00535	CIB43_RS01315
OG0000457	NB627_RS03565	CIB43_RS00450
OG0000459	NB627_RS02725	CIB43_RS03460
OG0000463	NB627_RS02770	CIB43_RS03515
OG0000464	NB627_RS02765	CIB43_RS03500
OG0000466	NB627_RS00410	CIB43_RS01115
OG0000468	NB627_RS02105	CIB43_RS02870
OG0000471	NB627_RS01040	CIB43_RS01790
OG0000474	NB627_RS03705	CIB43_RS00585
OG0000475	NB627_RS03710	CIB43_RS00595
OG0000482	NB627_RS01320	CIB43_RS02080
OG0000485	NB627_RS01280	CIB43_RS02035
OG0000486	NB627_RS02470	CIB43_RS03205
OG0000488	NB627_RS02185	CIB43_RS02940
OG0000491	NB627_RS01470	CIB43_RS02220
OG0000492	NB627_RS01555	CIB43_RS02290
OG0000504	NB627_RS01015	CIB43_RS01770
OG0000506	NB627_RS01060	CIB43_RS01810
OG0000508	NB627_RS00250	CIB43_RS00980
OG0000517	NB627_RS00065	CIB43_RS00765
OG0000520	NB627_RS01035	CIB43_RS01780
OG0000523	NB627_RS03560	CIB43_RS00445
OG0000526	NB627_RS01970, NB627_RS01965	CIB43_RS02720
OG0000527	NB627_RS01910	CIB43_RS02640
OG0000531	NB627_RS01530	CIB43_RS02265
OG0000538	NB627_RS01240	CIB43_RS01990
OG0000543	NB627_RS00515	CIB43_RS01215
OG0000544	NB627_RS01370	CIB43_RS02125
OG0000545	NB627_RS01955	CIB43_RS02715
OG0000546	NB627_RS02975	CIB43_RS03705
OG0000552	NB627_RS03340	CIB43_RS00225
OG0000553	NB627_RS02875	CIB43_RS03610
OG0000554	NB627_RS02565	CIB43_RS03295
OG0000557	NB627_RS01385	CIB43_RS02130
OG0000558	NB627_RS01345	CIB43_RS02100
OG0000559	NB627_RS01830	CIB43_RS02575
OG0000560	NB627_RS01940	CIB43_RS02680
OG0000561	NB627_RS01225	CIB43_RS01980
OG0000562	NB627_RS01945	CIB43_RS02685
OG0000563	NB627_RS01935	CIB43_RS02670
OG0000564	NB627_RS01410	CIB43_RS02155
OG0000565	NB627_RS02010	CIB43_RS02760
OG0000566	NB627_RS01990	CIB43_RS02740
OG0000568	NB627_RS00795	CIB43_RS01555
OG0000569	NB627_RS01350	CIB43_RS02105
OG0000570	NB627_RS01355	CIB43_RS02110
OG0000571	NB627_RS01360	CIB43_RS02115
OG0000572	NB627_RS01390	CIB43_RS02135
OG0000573	NB627_RS01825	CIB43_RS02570
OG0000574	NB627_RS01430	CIB43_RS02175
OG0000576	NB627_RS01780	CIB43_RS02530
OG0000577	NB627_RS02850	CIB43_RS03580
OG0000579	NB627_RS01920	CIB43_RS02660
OG0000580	NB627_RS02980	CIB43_RS03710
OG0000581	NB627_RS01915	CIB43_RS02645
OG0000584	NB627_RS00485	CIB43_RS01255
OG0000585	NB627_RS02370	CIB43_RS03105
OG0000588	NB627_RS01770	CIB43_RS02525
OG0000589	NB627_RS02300	CIB43_RS03055
OG0000590	NB627_RS00495	CIB43_RS01190
OG0000594	NB627_RS01340	CIB43_RS02095
OG0000595	NB627_RS03195	CIB43_RS03920
OG0000597	NB627_RS03190	CIB43_RS03915
OG0000600	NB627_RS00480	CIB43_RS01175, CIB43_RS00040
OG0000603	NB627_RS00475	CIB43_RS00060, CIB43_RS01270, CIB43_RS01170
OG0000608	NB627_RS01950	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000613	NB627_RS02030	CIB43_RS02785
OG0000616	NB627_RS00455	CIB43_RS01280
OG0000620	NB627_RS02015	CIB43_RS04010
OG0000624	NB627_RS03345	CIB43_RS00230
OG0000642	NB627_RS00505	CIB43_RS03975
