Orthogroup	MHP_131B_genes	MFC_MF33_genes
OG0000368	NB627_RS00060	DR085_RS02325
OG0000369	NB627_RS00025	DR085_RS03780
OG0000370	NB627_RS00020	DR085_RS02285
OG0000371	NB627_RS00015	DR085_RS02280
OG0000372	NB627_RS00010	DR085_RS02275
OG0000373	NB627_RS03810	DR085_RS02250
OG0000374	NB627_RS03800	DR085_RS02240
OG0000375	NB627_RS02385	DR085_RS01920
OG0000376	NB627_RS02545	DR085_RS01865
OG0000377	NB627_RS02535	DR085_RS01855
OG0000378	NB627_RS01415	DR085_RS01820
OG0000379	NB627_RS01495	DR085_RS01750
OG0000380	NB627_RS01525	DR085_RS01725
OG0000381	NB627_RS01565	DR085_RS01685
OG0000382	NB627_RS01595	DR085_RS01655
OG0000383	NB627_RS01635	DR085_RS01615
OG0000384	NB627_RS00625	DR085_RS00335
OG0000385	NB627_RS00630	DR085_RS00340
OG0000386	NB627_RS00650	DR085_RS00360
OG0000387	NB627_RS00675	DR085_RS00385
OG0000388	NB627_RS00680	DR085_RS03645
OG0000389	NB627_RS00725	DR085_RS00430
OG0000390	NB627_RS03090	DR085_RS00545
OG0000391	NB627_RS03080	DR085_RS00555
OG0000392	NB627_RS03055	DR085_RS00580
OG0000393	NB627_RS03000	DR085_RS00635
OG0000394	NB627_RS02920	DR085_RS00700
OG0000395	NB627_RS02915	DR085_RS00705
OG0000396	NB627_RS02610	DR085_RS02710
OG0000397	NB627_RS02060	DR085_RS02665
OG0000398	NB627_RS02065	DR085_RS02660
OG0000399	NB627_RS02110	DR085_RS02770
OG0000400	NB627_RS03250	DR085_RS01415
OG0000401	NB627_RS03310	DR085_RS01475
OG0000402	NB627_RS03320	DR085_RS01485
OG0000403	NB627_RS03330	DR085_RS01495
OG0000405	NB627_RS03380	DR085_RS01530
OG0000406	NB627_RS03435	DR085_RS01560
OG0000407	NB627_RS03440	DR085_RS03725
OG0000408	NB627_RS03445	DR085_RS01570
OG0000409	NB627_RS03450	DR085_RS01575
OG0000410	NB627_RS03515	DR085_RS02955
OG0000411	NB627_RS03500	DR085_RS02945
OG0000412	NB627_RS03495	DR085_RS02940
OG0000413	NB627_RS01650	DR085_RS02185
OG0000414	NB627_RS01660	DR085_RS02175
OG0000415	NB627_RS01665	DR085_RS02170
OG0000416	NB627_RS01675	DR085_RS02160
OG0000417	NB627_RS02450	DR085_RS02130
OG0000418	NB627_RS02440	DR085_RS02125
OG0000419	NB627_RS00825	DR085_RS02065
OG0000420	NB627_RS00860	DR085_RS02030
OG0000421	NB627_RS00900	DR085_RS01995
OG0000422	NB627_RS00905	DR085_RS01985
OG0000423	NB627_RS00965	DR085_RS01005
OG0000424	NB627_RS00970	DR085_RS01010
OG0000425	NB627_RS00980	DR085_RS01020
OG0000426	NB627_RS00985	DR085_RS03680
OG0000427	NB627_RS01010	DR085_RS03685
OG0000429	NB627_RS01130	DR085_RS01170
OG0000430	NB627_RS01175	DR085_RS01215
OG0000431	NB627_RS01185	DR085_RS01225
OG0000432	NB627_RS01215	DR085_RS01245
OG0000433	NB627_RS01230	DR085_RS01255
OG0000434	NB627_RS01235	DR085_RS01260
OG0000435	NB627_RS01250	DR085_RS01275
OG0000436	NB627_RS01275	DR085_RS01315
OG0000437	NB627_RS01285	DR085_RS01325
OG0000438	NB627_RS01290	DR085_RS03700
OG0000439	NB627_RS01295	DR085_RS01335
OG0000440	NB627_RS03140	DR085_RS01350
OG0000441	NB627_RS03185	DR085_RS01390
OG0000442	NB627_RS00145	DR085_RS02355
OG0000443	NB627_RS00190	DR085_RS00025
OG0000444	NB627_RS00205	DR085_RS00040
OG0000445	NB627_RS00230	DR085_RS00065
OG0000446	NB627_RS00255	DR085_RS00090
OG0000447	NB627_RS00260	DR085_RS00095
OG0000448	NB627_RS00290	DR085_RS00125
OG0000449	NB627_RS00315	DR085_RS00150
OG0000450	NB627_RS00325	DR085_RS00160
OG0000451	NB627_RS00380	DR085_RS00200
OG0000452	NB627_RS00405	DR085_RS00225
OG0000453	NB627_RS00535	DR085_RS00260
OG0000455	NB627_RS03715	DR085_RS03810
OG0000456	NB627_RS03595	DR085_RS02595
OG0000457	NB627_RS03565	DR085_RS02620
OG0000458	NB627_RS02700	DR085_RS00905
OG0000459	NB627_RS02725	DR085_RS00880
OG0000460	NB627_RS02735	DR085_RS00870
OG0000461	NB627_RS02780	DR085_RS00825
OG0000462	NB627_RS02775	DR085_RS00830
OG0000463	NB627_RS02770	DR085_RS00835
OG0000464	NB627_RS02765	DR085_RS00840
OG0000465	NB627_RS02760	DR085_RS00845
OG0000466	NB627_RS00410	DR085_RS00230
OG0000467	NB627_RS02865	DR085_RS03670
OG0000468	NB627_RS02105	DR085_RS02775
OG0000469	NB627_RS02165	DR085_RS02995
OG0000470	NB627_RS00960	DR085_RS01000
OG0000471	NB627_RS01040	DR085_RS01080
OG0000472	NB627_RS03520	DR085_RS02645
OG0000474	NB627_RS03705	DR085_RS02490
OG0000475	NB627_RS03710	DR085_RS02485
OG0000476	NB627_RS01685	DR085_RS02450
OG0000477	NB627_RS02810	DR085_RS00800
OG0000478	NB627_RS03645	DR085_RS02545
OG0000479	NB627_RS01450	DR085_RS01790
OG0000480	NB627_RS02170	DR085_RS03170
OG0000481	NB627_RS00935	DR085_RS01960
OG0000482	NB627_RS01320	DR085_RS02100
OG0000483	NB627_RS02220	DR085_RS02855
OG0000484	NB627_RS00200	DR085_RS03630
OG0000485	NB627_RS01280	DR085_RS01320
OG0000486	NB627_RS02470	DR085_RS02150
OG0000488	NB627_RS02185	DR085_RS02825
OG0000490	NB627_RS03815	DR085_RS02255
OG0000491	NB627_RS01470	DR085_RS01770
OG0000492	NB627_RS01555	DR085_RS01695
OG0000493	NB627_RS00690	DR085_RS00400
OG0000494	NB627_RS00750	DR085_RS00455
OG0000496	NB627_RS03015	DR085_RS00620
OG0000497	NB627_RS03010	DR085_RS00625
OG0000498	NB627_RS02925	DR085_RS00695
OG0000499	NB627_RS02890	DR085_RS00740
OG0000500	NB627_RS02070	DR085_RS02655
OG0000501	NB627_RS03260	DR085_RS01425
OG0000504	NB627_RS01015	DR085_RS01055
OG0000505	NB627_RS01050	DR085_RS01090
OG0000506	NB627_RS01060	DR085_RS01100
OG0000507	NB627_RS01095	DR085_RS01135
OG0000508	NB627_RS00250	DR085_RS00085
OG0000509	NB627_RS00285	DR085_RS00120
OG0000510	NB627_RS00300	DR085_RS00130
OG0000511	NB627_RS00540	DR085_RS00265
OG0000512	NB627_RS02740	DR085_RS00865
OG0000513	NB627_RS03630	DR085_RS02560
OG0000514	NB627_RS03050	DR085_RS00585
OG0000517	NB627_RS00065	DR085_RS02330
OG0000518	NB627_RS03300	DR085_RS01465
OG0000520	NB627_RS01035	DR085_RS01070
OG0000521	NB627_RS00265	DR085_RS00100
OG0000523	NB627_RS03560	DR085_RS02625
OG0000524	NB627_RS02860	DR085_RS00760
OG0000531	NB627_RS01530	DR085_RS01720
OG0000532	NB627_RS01755	DR085_RS00490
OG0000533	NB627_RS00710	DR085_RS01235
OG0000538	NB627_RS01240	DR085_RS01265
OG0000551	NB627_RS03170	DR085_RS01380
OG0000555	NB627_RS03105	DR085_RS03230
OG0000589	NB627_RS02300	DR085_RS02910
OG0000596	NB627_RS01870	DR085_RS02375
OG0000598	NB627_RS01875	DR085_RS02370
OG0000599	NB627_RS01880	DR085_RS02365
OG0000627	NB627_RS03750	DR085_RS02420
