Orthogroup	MHP_ES2L_genes	MHP_UFV02_genes
OG0000267	HZK19_RS00400	FEF31_RS00080
OG0000268	HZK19_RS00405	FEF31_RS00085
OG0000269	HZK19_RS00420	FEF31_RS00100
OG0000270	HZK19_RS03540	FEF31_RS04635
OG0000271	HZK19_RS03535	FEF31_RS03160
OG0000272	HZK19_RS03530	FEF31_RS03155
OG0000273	HZK19_RS03525	FEF31_RS03150
OG0000274	HZK19_RS03505	FEF31_RS03130
OG0000275	HZK19_RS03500	FEF31_RS04625
OG0000276	HZK19_RS03495	FEF31_RS03120
OG0000277	HZK19_RS03485	FEF31_RS03110
OG0000278	HZK19_RS03480	FEF31_RS03105
OG0000279	HZK19_RS03470	FEF31_RS03095
OG0000280	HZK19_RS03465	FEF31_RS03090
OG0000281	HZK19_RS03460	FEF31_RS03085
OG0000282	HZK19_RS03435	FEF31_RS04615
OG0000283	HZK19_RS03430	FEF31_RS03055
OG0000284	HZK19_RS03425	FEF31_RS03050
OG0000285	HZK19_RS03420	FEF31_RS04610
OG0000286	HZK19_RS02390	FEF31_RS02155
OG0000287	HZK19_RS02485	FEF31_RS02260
OG0000288	HZK19_RS02495	FEF31_RS02270
OG0000289	HZK19_RS02500	FEF31_RS02275
OG0000290	HZK19_RS02610	FEF31_RS02385
OG0000291	HZK19_RS02600	FEF31_RS02375
OG0000292	HZK19_RS02595	FEF31_RS02370
OG0000293	HZK19_RS02590	FEF31_RS02365
OG0000294	HZK19_RS02580	FEF31_RS02355
OG0000295	HZK19_RS02575	FEF31_RS02350
OG0000296	HZK19_RS02535	FEF31_RS02310
OG0000297	HZK19_RS02530	FEF31_RS02305
OG0000298	HZK19_RS00160	FEF31_RS03445
OG0000299	HZK19_RS00180	FEF31_RS03465
OG0000300	HZK19_RS00355	FEF31_RS00035
OG0000301	HZK19_RS00390	FEF31_RS00070
OG0000302	HZK19_RS00395	FEF31_RS00075
OG0000303	HZK19_RS00550	FEF31_RS00220
OG0000304	HZK19_RS01055	FEF31_RS00730
OG0000305	HZK19_RS02845	FEF31_RS02620
OG0000306	HZK19_RS02770	FEF31_RS02545
OG0000307	HZK19_RS02735	FEF31_RS02510
OG0000308	HZK19_RS02635	FEF31_RS02405
OG0000309	HZK19_RS02565	FEF31_RS02340
OG0000310	HZK19_RS02490	FEF31_RS02265
OG0000311	HZK19_RS02450	FEF31_RS02215
OG0000312	HZK19_RS02435	FEF31_RS02200
OG0000313	HZK19_RS01565	FEF31_RS01260
OG0000314	HZK19_RS01920	FEF31_RS01700
OG0000315	HZK19_RS01950	FEF31_RS01730
OG0000316	HZK19_RS01960	FEF31_RS01740
OG0000317	HZK19_RS02055	FEF31_RS01835
OG0000318	HZK19_RS01965	FEF31_RS04480
OG0000319	HZK19_RS02200	FEF31_RS01970
OG0000320	HZK19_RS02330	FEF31_RS02095
OG0000321	HZK19_RS01300	FEF31_RS00990
OG0000322	HZK19_RS01345	FEF31_RS01040
OG0000323	HZK19_RS01475	FEF31_RS01170
OG0000324	HZK19_RS02240	FEF31_RS02010
