Orthogroup	MFC_Ms42_genes	MHP_ES2L_genes
OG0000528	MYF_RS01435	HZK19_RS01980
OG0000529	MYF_RS01565	HZK19_RS02210
OG0000530	MYF_RS01630	HZK19_RS02315
OG0000531	MYF_RS01750	HZK19_RS01365
OG0000532	MYF_RS00620	HZK19_RS01590
OG0000533	MYF_RS02365	HZK19_RS00590
OG0000534	MYF_RS00345	HZK19_RS00365
OG0000535	MYF_RS00045	HZK19_RS00045
OG0000536	MYF_RS03070	HZK19_RS03590
OG0000537	MYF_RS02025	HZK19_RS00700
OG0000538	MYF_RS02395	HZK19_RS01100
OG0000539	MYF_RS00175	HZK19_RS00200
OG0000540	MYF_RS00910	HZK19_RS02605
OG0000541	MYF_RS00850	HZK19_RS02685
OG0000542	MYF_RS00315	HZK19_RS00335
OG0000547	MYF_RS00660	HZK19_RS02875
OG0000548	MYF_RS01205	HZK19_RS01560
OG0000549	MYF_RS02805	HZK19_RS03365
OG0000550	MYF_RS02925	HZK19_RS03510
OG0000551	MYF_RS02505	HZK19_RS02945
OG0000555	MYF_RS03410	HZK19_RS02880
OG0000589	MYF_RS03220	HZK19_RS02120
OG0000595	MYF_RS02570	HZK19_RS02965
OG0000597	MYF_RS02565	HZK19_RS02960
OG0000602	MYF_RS01415	HZK19_RS02005
