Orthogroup	MHP_Ue273_genes	MHP_131B_genes
OG0000364	VQY17_RS01955, VQY17_RS01960	NB627_RS02025
OG0000365	VQY17_RS02110	NB627_RS02180
OG0000366	VQY17_RS02140	NB627_RS02200
OG0000367	VQY17_RS02150	NB627_RS02215
OG0000368	VQY17_RS00060	NB627_RS00060
OG0000369	VQY17_RS00025	NB627_RS00025
OG0000370	VQY17_RS00020	NB627_RS00020
OG0000371	VQY17_RS00015	NB627_RS00015
OG0000372	VQY17_RS00010	NB627_RS00010
OG0000373	VQY17_RS03605	NB627_RS03810
OG0000374	VQY17_RS03595	NB627_RS03800
OG0000375	VQY17_RS02230	NB627_RS02385
OG0000376	VQY17_RS02380	NB627_RS02545
OG0000377	VQY17_RS02370	NB627_RS02535
OG0000378	VQY17_RS01310	NB627_RS01415
OG0000379	VQY17_RS01385	NB627_RS01495
OG0000380	VQY17_RS01415	NB627_RS01525
OG0000382	VQY17_RS01485	NB627_RS01595
OG0000383	VQY17_RS01525	NB627_RS01635
OG0000384	VQY17_RS00515	NB627_RS00625
OG0000385	VQY17_RS00520	NB627_RS00630
OG0000386	VQY17_RS00540	NB627_RS00650
OG0000387	VQY17_RS00565	NB627_RS00675
OG0000388	VQY17_RS00570	NB627_RS00680
OG0000389	VQY17_RS00615	NB627_RS00725
OG0000390	VQY17_RS02880	NB627_RS03090
OG0000391	VQY17_RS02870	NB627_RS03080
OG0000392	VQY17_RS02845	NB627_RS03055
OG0000393	VQY17_RS02790	NB627_RS03000
OG0000394	VQY17_RS02715	NB627_RS02920
OG0000395	VQY17_RS02710	NB627_RS02915
OG0000396	VQY17_RS02425	NB627_RS02610
OG0000397	VQY17_RS01995	NB627_RS02060
OG0000398	VQY17_RS02000	NB627_RS02065
OG0000399	VQY17_RS02045	NB627_RS02110
OG0000400	VQY17_RS03045	NB627_RS03250
OG0000401	VQY17_RS03105	NB627_RS03310
OG0000402	VQY17_RS03115	NB627_RS03320
OG0000403	VQY17_RS03125	NB627_RS03330
OG0000405	VQY17_RS03165	NB627_RS03380
OG0000406	VQY17_RS03230	NB627_RS03435
OG0000407	VQY17_RS03235	NB627_RS03440
OG0000408	VQY17_RS03240	NB627_RS03445
OG0000409	VQY17_RS03245	NB627_RS03450
OG0000410	VQY17_RS03310	NB627_RS03515
OG0000411	VQY17_RS03300	NB627_RS03500
OG0000412	VQY17_RS03295	NB627_RS03495
OG0000413	VQY17_RS01540	NB627_RS01650
OG0000414	VQY17_RS01550	NB627_RS01660
OG0000415	VQY17_RS01555	NB627_RS01665
OG0000416	VQY17_RS01565	NB627_RS01675
OG0000417	VQY17_RS02290	NB627_RS02450
OG0000418	VQY17_RS02285	NB627_RS02440
OG0000419	VQY17_RS00710	NB627_RS00825
OG0000420	VQY17_RS00745	NB627_RS00860
OG0000421	VQY17_RS00785	NB627_RS00900
OG0000422	VQY17_RS00795	NB627_RS00905
OG0000423	VQY17_RS00850	NB627_RS00965
OG0000424	VQY17_RS00855	NB627_RS00970
OG0000425	VQY17_RS00865	NB627_RS00980
OG0000426	VQY17_RS00870	NB627_RS00985
OG0000427	VQY17_RS00900	NB627_RS01010
OG0000429	VQY17_RS01045	NB627_RS01130
OG0000430	VQY17_RS01090	NB627_RS01175
OG0000431	VQY17_RS01100	NB627_RS01185
OG0000432	VQY17_RS01130	NB627_RS01215
OG0000433	VQY17_RS01145	NB627_RS01230
OG0000434	VQY17_RS01150	NB627_RS01235
OG0000435	VQY17_RS01170	NB627_RS01250
OG0000436	VQY17_RS01195	NB627_RS01275
OG0000438	VQY17_RS01210	NB627_RS01290
OG0000439	VQY17_RS01215	NB627_RS01295
OG0000440	VQY17_RS02940	NB627_RS03140
OG0000441	VQY17_RS02975	NB627_RS03185
OG0000442	VQY17_RS00145	NB627_RS00145
OG0000443	VQY17_RS00190	NB627_RS00190
OG0000444	VQY17_RS00205	NB627_RS00205
OG0000445	VQY17_RS00230	NB627_RS00230
OG0000446	VQY17_RS00260	NB627_RS00255
OG0000447	VQY17_RS00265	NB627_RS00260
OG0000448	VQY17_RS00295	NB627_RS00290
OG0000449	VQY17_RS00320	NB627_RS00315
OG0000450	VQY17_RS00330	NB627_RS00325
OG0000451	VQY17_RS00370	NB627_RS00380
OG0000452	VQY17_RS00395	NB627_RS00405
OG0000453	VQY17_RS00430	NB627_RS00535
OG0000454	VQY17_RS01595	NB627_RS00520
OG0000455	VQY17_RS03515	NB627_RS03715
OG0000456	VQY17_RS03390	NB627_RS03595
OG0000458	VQY17_RS02505	NB627_RS02700
OG0000459	VQY17_RS02530	NB627_RS02725
OG0000460	VQY17_RS02540	NB627_RS02735
OG0000461	VQY17_RS02585	NB627_RS02780
OG0000462	VQY17_RS02580	NB627_RS02775
OG0000463	VQY17_RS02575	NB627_RS02770
OG0000464	VQY17_RS02570	NB627_RS02765
OG0000465	VQY17_RS02565	NB627_RS02760
OG0000466	VQY17_RS00400	NB627_RS00410
OG0000467	VQY17_RS02665	NB627_RS02865
OG0000468	VQY17_RS02040	NB627_RS02105
OG0000469	VQY17_RS02100	NB627_RS02165
OG0000470	VQY17_RS00845	NB627_RS00960
OG0000471	VQY17_RS00930	NB627_RS01040
OG0000472	VQY17_RS03320	NB627_RS03520
OG0000474	VQY17_RS03505	NB627_RS03705
OG0000475	VQY17_RS03510	NB627_RS03710
OG0000476	VQY17_RS01575	NB627_RS01685
OG0000477	VQY17_RS02610	NB627_RS02810
OG0000478	VQY17_RS03445	NB627_RS03645
OG0000479	VQY17_RS01345	NB627_RS01450
OG0000480	VQY17_RS02105	NB627_RS02170
OG0000481	VQY17_RS00820	NB627_RS00935
OG0000482	VQY17_RS01235	NB627_RS01320
OG0000483	VQY17_RS02155	NB627_RS02220
OG0000484	VQY17_RS00200	NB627_RS00200
OG0000485	VQY17_RS01205	NB627_RS01280
OG0000486	VQY17_RS02310	NB627_RS02470
OG0000488	VQY17_RS02120	NB627_RS02185
OG0000490	VQY17_RS03610	NB627_RS03815
OG0000491	VQY17_RS01365	NB627_RS01470
OG0000492	VQY17_RS01445	NB627_RS01555
OG0000493	VQY17_RS00580	NB627_RS00690
OG0000494	VQY17_RS00640	NB627_RS00750
OG0000496	VQY17_RS02805	NB627_RS03015
OG0000497	VQY17_RS02800	NB627_RS03010
OG0000498	VQY17_RS02720	NB627_RS02925
OG0000499	VQY17_RS02685	NB627_RS02890
OG0000500	VQY17_RS02005	NB627_RS02070
OG0000501	VQY17_RS03055	NB627_RS03260
OG0000504	VQY17_RS00905	NB627_RS01015
OG0000505	VQY17_RS00965	NB627_RS01050
OG0000506	VQY17_RS00975	NB627_RS01060
OG0000507	VQY17_RS01010	NB627_RS01095
OG0000508	VQY17_RS00255	NB627_RS00250
OG0000509	VQY17_RS00290	NB627_RS00285
OG0000510	VQY17_RS00305	NB627_RS00300
OG0000511	VQY17_RS00435	NB627_RS00540
OG0000512	VQY17_RS02545	NB627_RS02740
OG0000513	VQY17_RS03425	NB627_RS03630
OG0000514	VQY17_RS02840	NB627_RS03050
OG0000517	VQY17_RS00065	NB627_RS00065
OG0000518	VQY17_RS03095	NB627_RS03300
OG0000520	VQY17_RS00920	NB627_RS01035
OG0000521	VQY17_RS00270	NB627_RS00265
OG0000523	VQY17_RS03360	NB627_RS03560
OG0000524	VQY17_RS02660	NB627_RS02860
OG0000525	VQY17_RS03325	NB627_RS03525
OG0000526	VQY17_RS01905	NB627_RS01970
OG0000527	VQY17_RS01825	NB627_RS01910
OG0000531	VQY17_RS01420	NB627_RS01530
OG0000532	VQY17_RS01660	NB627_RS01755
OG0000533	VQY17_RS00600	NB627_RS00710
OG0000538	VQY17_RS01160	NB627_RS01240
OG0000540	VQY17_RS02630	NB627_RS02830
OG0000543	VQY17_RS01600	NB627_RS00515
OG0000544	VQY17_RS01275	NB627_RS01370, NB627_RS01375
OG0000545	VQY17_RS01895	NB627_RS01955
OG0000546	VQY17_RS02765	NB627_RS02975
OG0000553	VQY17_RS02675	NB627_RS02875
