Orthogroup	MFC_ATCC27716_genes	MHP_UFV02_genes
OG0000452	MFC_RS02615	FEF31_RS00055
OG0000453	MFC_RS02650	FEF31_RS00090
OG0000455	MFC_RS02700	FEF31_RS03185
OG0000456	MFC_RS02815	FEF31_RS03065
OG0000457	MFC_RS02840	FEF31_RS03040
OG0000458	MFC_RS02885	FEF31_RS02255
OG0000459	MFC_RS02910	FEF31_RS02280
OG0000460	MFC_RS02920	FEF31_RS02290
OG0000461	MFC_RS03080	FEF31_RS02335
OG0000462	MFC_RS03085	FEF31_RS02330
OG0000463	MFC_RS03090	FEF31_RS02325
OG0000464	MFC_RS03100	FEF31_RS02320
OG0000465	MFC_RS03105	FEF31_RS02315
OG0000466	MFC_RS02620	FEF31_RS00060
OG0000467	MFC_RS03500	FEF31_RS04530
OG0000468	MFC_RS01370	FEF31_RS01710
OG0000469	MFC_RS00045	FEF31_RS01770
OG0000470	MFC_RS01950	FEF31_RS00495
OG0000471	MFC_RS02035	FEF31_RS00575
OG0000472	MFC_RS01680	FEF31_RS02995
OG0000473	MFC_RS02715	FEF31_RS03170
OG0000474	MFC_RS02710	FEF31_RS03175
OG0000475	MFC_RS02705	FEF31_RS03180
OG0000476	MFC_RS00345	FEF31_RS01215
OG0000477	MFC_RS03055	FEF31_RS02360
OG0000478	MFC_RS02770	FEF31_RS03115
OG0000479	MFC_RS00545	FEF31_RS00985
OG0000480	MFC_RS03300	FEF31_RS01775
OG0000481	MFC_RS01925	FEF31_RS00470
OG0000482	MFC_RS01790	FEF31_RS00865
OG0000483	MFC_RS00095	FEF31_RS01820
OG0000484	MFC_RS02420	FEF31_RS04675
OG0000487	MFC_RS00025	FEF31_RS04485
OG0000488	MFC_RS00065	FEF31_RS01790
OG0000489	MFC_RS00185	FEF31_RS03335
OG0000490	MFC_RS00245	FEF31_RS03275
OG0000491	MFC_RS00565	FEF31_RS01005
OG0000492	MFC_RS00640	FEF31_RS01085
OG0000493	MFC_RS00855	FEF31_RS00240
OG0000494	MFC_RS00905	FEF31_RS00300
OG0000495	MFC_RS01055	FEF31_RS02575
OG0000496	MFC_RS01065	FEF31_RS02565
OG0000497	MFC_RS01070	FEF31_RS02560
OG0000498	MFC_RS01140	FEF31_RS02480
OG0000499	MFC_RS01185	FEF31_RS02445
OG0000500	MFC_RS01335	FEF31_RS01675
OG0000502	MFC_RS01800	FEF31_RS00855
OG0000503	MFC_RS01870	FEF31_RS00415
OG0000504	MFC_RS02005	FEF31_RS00550
OG0000505	MFC_RS02045	FEF31_RS00585
OG0000506	MFC_RS02055	FEF31_RS00595
OG0000507	MFC_RS02090	FEF31_RS00630
OG0000508	MFC_RS02475	FEF31_RS03520
OG0000509	MFC_RS02510	FEF31_RS03555
OG0000510	MFC_RS02520	FEF31_RS03565
OG0000511	MFC_RS02655	FEF31_RS00095
OG0000512	MFC_RS02925	FEF31_RS02295
OG0000513	MFC_RS02785	FEF31_RS03100
OG0000516	MFC_RS00030	FEF31_RS04490
OG0000517	MFC_RS00170	FEF31_RS03350
OG0000518	MFC_RS01500	FEF31_RS03675
OG0000519	MFC_RS01895	FEF31_RS00440
OG0000520	MFC_RS02025	FEF31_RS00565
OG0000521	MFC_RS02490	FEF31_RS03535
OG0000522	MFC_RS02525	FEF31_RS03570
OG0000523	MFC_RS02845	FEF31_RS03035
OG0000524	MFC_RS03015	FEF31_RS02410
OG0000525	MFC_RS01685	FEF31_RS04585
OG0000528	MFC_RS00035	FEF31_RS01760
OG0000529	MFC_RS00430	FEF31_RS01980
OG0000530	MFC_RS00495	FEF31_RS02080
OG0000531	MFC_RS00615	FEF31_RS01060
OG0000532	MFC_RS00940	FEF31_RS01290
OG0000533	MFC_RS02185	FEF31_RS00260
OG0000534	MFC_RS02605	FEF31_RS00045
OG0000535	MFC_RS00190	FEF31_RS04655
OG0000536	MFC_RS00315	FEF31_RS03215
OG0000537	MFC_RS01840	FEF31_RS00380
OG0000538	MFC_RS02215	FEF31_RS00780
OG0000539	MFC_RS02435	FEF31_RS03485
OG0000540	MFC_RS03035	FEF31_RS02380
