Orthogroup	MFC_ATCC27716_genes	MFC_MF22_genes
OG0000373	MFC_RS00250	DR094_RS01105
OG0000374	MFC_RS00260	DR094_RS01115
OG0000375	MFC_RS00415	DR094_RS02050
OG0000376	MFC_RS00470	DR094_RS02105
OG0000377	MFC_RS00480	DR094_RS02115
OG0000378	MFC_RS00515	DR094_RS02150
OG0000379	MFC_RS00585	DR094_RS02220
OG0000380	MFC_RS00610	DR094_RS02245
OG0000381	MFC_RS00650	DR094_RS02285
OG0000382	MFC_RS00680	DR094_RS02760
OG0000383	MFC_RS00720	DR094_RS02800
OG0000384	MFC_RS00790	DR094_RS00630
OG0000385	MFC_RS00795	DR094_RS00625
OG0000386	MFC_RS00815	DR094_RS00605
OG0000387	MFC_RS00840	DR094_RS00580
OG0000388	MFC_RS00845	DR094_RS03560
OG0000389	MFC_RS00880	DR094_RS00540
OG0000390	MFC_RS00990	DR094_RS00440
OG0000391	MFC_RS01000	DR094_RS00430
OG0000392	MFC_RS01030	DR094_RS00405
OG0000393	MFC_RS01080	DR094_RS00350
OG0000394	MFC_RS01145	DR094_RS00285
OG0000395	MFC_RS01150	DR094_RS00280
OG0000396	MFC_RS01280	DR094_RS02575
OG0000397	MFC_RS01325	DR094_RS02620
OG0000398	MFC_RS01330	DR094_RS02625
OG0000399	MFC_RS01375	DR094_RS02920
OG0000400	MFC_RS01450	DR094_RS01840
OG0000401	MFC_RS01510	DR094_RS01900
OG0000402	MFC_RS01520	DR094_RS01910
OG0000403	MFC_RS01530	DR094_RS01920
OG0000404	MFC_RS03375, MFC_RS01555	DR094_RS03705
OG0000405	MFC_RS01570	DR094_RS01955
OG0000406	MFC_RS01600	DR094_RS01985
OG0000407	MFC_RS01605	DR094_RS03720
OG0000408	MFC_RS01610	DR094_RS01995
OG0000409	MFC_RS01615	DR094_RS02000
OG0000410	MFC_RS01650	DR094_RS02860
OG0000411	MFC_RS01660	DR094_RS02870
OG0000412	MFC_RS01665	DR094_RS02875
OG0000413	MFC_RS01705	DR094_RS02540
OG0000414	MFC_RS01715	DR094_RS02530
OG0000415	MFC_RS01720	DR094_RS02525
OG0000416	MFC_RS01730	DR094_RS02515
