Orthogroup	MFC_ATCC27716_genes	MHP_ES2L_genes
OG0000382	MFC_RS00680	HZK19_RS01430
OG0000383	MFC_RS00720	HZK19_RS01470
OG0000384	MFC_RS00790	HZK19_RS00505
OG0000385	MFC_RS00795	HZK19_RS00510
OG0000386	MFC_RS00815	HZK19_RS00530
OG0000387	MFC_RS00840	HZK19_RS00555
OG0000388	MFC_RS00845	HZK19_RS00560
OG0000389	MFC_RS00880	HZK19_RS00605
OG0000390	MFC_RS00990	HZK19_RS02865
OG0000391	MFC_RS01000	HZK19_RS02855
OG0000392	MFC_RS01030	HZK19_RS02830
OG0000393	MFC_RS01080	HZK19_RS02775
OG0000394	MFC_RS01145	HZK19_RS02700
OG0000395	MFC_RS01150	HZK19_RS02695
OG0000396	MFC_RS01280	HZK19_RS02395
OG0000397	MFC_RS01325	HZK19_RS01880
OG0000398	MFC_RS01330	HZK19_RS01885
OG0000399	MFC_RS01375	HZK19_RS01935
OG0000400	MFC_RS01450	HZK19_RS03000
OG0000401	MFC_RS01510	HZK19_RS03155
OG0000402	MFC_RS01520	HZK19_RS03165
OG0000403	MFC_RS01530	HZK19_RS03175
OG0000404	MFC_RS03375, MFC_RS01555	HZK19_RS03205
OG0000405	MFC_RS01570	HZK19_RS03220
OG0000406	MFC_RS01600	HZK19_RS03285
OG0000407	MFC_RS01605	HZK19_RS03290
OG0000408	MFC_RS01610	HZK19_RS03295
OG0000409	MFC_RS01615	HZK19_RS03300
OG0000410	MFC_RS01650	HZK19_RS03360
OG0000411	MFC_RS01660	HZK19_RS03350
OG0000412	MFC_RS01665	HZK19_RS03345
OG0000413	MFC_RS01705	HZK19_RS01485
OG0000414	MFC_RS01715	HZK19_RS01495
OG0000415	MFC_RS01720	HZK19_RS01500
OG0000416	MFC_RS01730	HZK19_RS01510
OG0000417	MFC_RS01760	HZK19_RS02255
OG0000418	MFC_RS01765	HZK19_RS02250
OG0000419	MFC_RS01825	HZK19_RS00685
OG0000420	MFC_RS01860	HZK19_RS00720
OG0000421	MFC_RS01890	HZK19_RS00755
OG0000422	MFC_RS01900	HZK19_RS00765
OG0000423	MFC_RS01955	HZK19_RS00820
OG0000424	MFC_RS01960	HZK19_RS00825
OG0000425	MFC_RS01970	HZK19_RS00835
OG0000426	MFC_RS01975	HZK19_RS00840
OG0000427	MFC_RS02000	HZK19_RS00865
OG0000428	MFC_RS02030	HZK19_RS00890
OG0000429	MFC_RS02120	HZK19_RS00985
OG0000430	MFC_RS02165	HZK19_RS01030
OG0000431	MFC_RS02175	HZK19_RS01040
OG0000432	MFC_RS02195	HZK19_RS01075
OG0000433	MFC_RS02205	HZK19_RS01090
OG0000434	MFC_RS02210	HZK19_RS01095
OG0000435	MFC_RS02225	HZK19_RS01110
OG0000436	MFC_RS03535	HZK19_RS01135
OG0000437	MFC_RS02270	HZK19_RS01145
OG0000438	MFC_RS02275	HZK19_RS01150
OG0000439	MFC_RS02280	HZK19_RS01155
OG0000440	MFC_RS02295	HZK19_RS02915
OG0000441	MFC_RS02335	HZK19_RS02955
OG0000442	MFC_RS02350	HZK19_RS00130
OG0000443	MFC_RS02410	HZK19_RS00175
OG0000444	MFC_RS02425	HZK19_RS00190
OG0000445	MFC_RS02450	HZK19_RS00215
OG0000446	MFC_RS02480	HZK19_RS00240
OG0000447	MFC_RS02485	HZK19_RS00245
OG0000448	MFC_RS02515	HZK19_RS00275
OG0000449	MFC_RS02540	HZK19_RS00300
OG0000450	MFC_RS02550	HZK19_RS00310
OG0000451	MFC_RS02590	HZK19_RS00350
OG0000452	MFC_RS02615	HZK19_RS00375
OG0000453	MFC_RS02650	HZK19_RS00410
OG0000454	MFC_RS03440, MFC_RS03435	HZK19_RS03100
OG0000455	MFC_RS02700	HZK19_RS03560
OG0000456	MFC_RS02815	HZK19_RS03440
OG0000457	MFC_RS02840	HZK19_RS03415
OG0000458	MFC_RS02885	HZK19_RS02480
OG0000459	MFC_RS02910	HZK19_RS02505
OG0000460	MFC_RS02920	HZK19_RS02520
OG0000461	MFC_RS03080	HZK19_RS02560
OG0000462	MFC_RS03085	HZK19_RS02555
OG0000463	MFC_RS03090	HZK19_RS02550
OG0000465	MFC_RS03105	HZK19_RS02545
OG0000466	MFC_RS02620	HZK19_RS00380
OG0000467	MFC_RS03500	HZK19_RS02645
OG0000468	MFC_RS01370	HZK19_RS01930
OG0000469	MFC_RS00045	HZK19_RS01990
OG0000470	MFC_RS01950	HZK19_RS00815
OG0000471	MFC_RS02035	HZK19_RS00895
