Orthogroup	MHP_ES2_genes	MFC_MF30_genes
OG0000516	E5E95_RS02130	DR084_RS03415, DR084_RS03410
OG0000517	E5E95_RS00065	DR084_RS02365
OG0000518	E5E95_RS03315	DR084_RS02105
OG0000519	E5E95_RS00785	DR084_RS01325
OG0000520	E5E95_RS00910	DR084_RS01450
OG0000521	E5E95_RS00265	DR084_RS00100
OG0000522	E5E95_RS00300	DR084_RS00135
OG0000523	E5E95_RS03580	DR084_RS02650
OG0000525	E5E95_RS03545	DR084_RS03715
OG0000528	E5E95_RS02135	DR084_RS03690
OG0000529	E5E95_RS02355	DR084_RS01805
OG0000531	E5E95_RS01415	DR084_RS01990
OG0000533	E5E95_RS00600	DR084_RS01615
OG0000534	E5E95_RS00380	DR084_RS00215
OG0000535	E5E95_RS00045	DR084_RS02345
OG0000536	E5E95_RS03765	DR084_RS02525
OG0000537	E5E95_RS00725	DR084_RS01265
OG0000538	E5E95_RS01140	DR084_RS01645
OG0000539	E5E95_RS00210	DR084_RS00050
OG0000540	E5E95_RS02840	DR084_RS00755
OG0000541	E5E95_RS02920	DR084_RS00695
OG0000547	E5E95_RS03110	DR084_RS00515
OG0000548	E5E95_RS01615	DR084_RS00990
OG0000549	E5E95_RS03535	DR084_RS02675
OG0000550	E5E95_RS03680	DR084_RS02550
OG0000555	E5E95_RS04170	DR084_RS03090
OG0000596	E5E95_RS01845	DR084_RS02410
OG0000598	E5E95_RS01850	DR084_RS02405
OG0000599	E5E95_RS01855	DR084_RS02400
OG0000602	E5E95_RS02155	DR084_RS02680
