Orthogroup	MHP_TB1_genes	MFC_MF18_genes
OG0000258	B5M19_RS04020	DR082_RS00300
OG0000259	B5M19_RS00230	DR082_RS00330
OG0000260	B5M19_RS00240	DR082_RS00340
OG0000261	B5M19_RS00250	DR082_RS03670
OG0000262	B5M19_RS00270	DR082_RS00365
OG0000263	B5M19_RS00285	DR082_RS00380
OG0000264	B5M19_RS04030	DR082_RS00395
OG0000265	B5M19_RS00315	DR082_RS00405
OG0000266	B5M19_RS00335	DR082_RS00420
OG0000267	B5M19_RS04035	DR082_RS00435
OG0000268	B5M19_RS00355	DR082_RS00440
OG0000269	B5M19_RS03680	DR082_RS00455
OG0000270	B5M19_RS00415	DR082_RS03820
OG0000271	B5M19_RS00420	DR082_RS02340
OG0000272	B5M19_RS00425	DR082_RS02335
OG0000273	B5M19_RS00430	DR082_RS02330
OG0000274	B5M19_RS00450	DR082_RS02460
OG0000275	B5M19_RS00455	DR082_RS03850
OG0000276	B5M19_RS00460	DR082_RS02470
OG0000277	B5M19_RS00470	DR082_RS03855
OG0000278	B5M19_RS00475	DR082_RS02485
OG0000279	B5M19_RS00485	DR082_RS02495
OG0000280	B5M19_RS00490	DR082_RS02500
OG0000281	B5M19_RS00495	DR082_RS02505
OG0000282	B5M19_RS00520	DR082_RS02530
OG0000283	B5M19_RS00525	DR082_RS02535
OG0000284	B5M19_RS00530	DR082_RS02540
OG0000285	B5M19_RS00535	DR082_RS03870
OG0000286	B5M19_RS02850	DR082_RS01100
OG0000287	B5M19_RS01050	DR082_RS01075
OG0000288	B5M19_RS01040	DR082_RS01065
OG0000289	B5M19_RS01035	DR082_RS01060
OG0000290	B5M19_RS04120	DR082_RS03275
OG0000291	B5M19_RS00935	DR082_RS00960
OG0000292	B5M19_RS00940	DR082_RS00965
OG0000293	B5M19_RS00945	DR082_RS00970
OG0000294	B5M19_RS00955	DR082_RS00980
OG0000295	B5M19_RS00960	DR082_RS00985
OG0000296	B5M19_RS01000	DR082_RS01025
OG0000297	B5M19_RS01005	DR082_RS01030
OG0000298	B5M19_RS00085	DR082_RS00195
OG0000299	B5M19_RS00110	DR082_RS00215
OG0000300	B5M19_RS00300	DR082_RS00390
OG0000301	B5M19_RS00340	DR082_RS00425
OG0000302	B5M19_RS00345	DR082_RS00430
OG0000303	B5M19_RS02410	DR082_RS00565
OG0000304	B5M19_RS03190	DR082_RS00600
OG0000305	B5M19_RS01385	DR082_RS00730
OG0000306	B5M19_RS02560	DR082_RS00810
OG0000307	B5M19_RS02525	DR082_RS00855
OG0000308	B5M19_RS00905	DR082_RS00940
OG0000309	B5M19_RS00970	DR082_RS00995
OG0000310	B5M19_RS01045	DR082_RS01070
OG0000311	B5M19_RS02790	DR082_RS01120
OG0000312	B5M19_RS02805	DR082_RS01140
OG0000313	B5M19_RS03300	DR082_RS01190
OG0000314	B5M19_RS00780	DR082_RS02635
OG0000315	B5M19_RS00810	DR082_RS02665
OG0000316	B5M19_RS00820	DR082_RS02675
OG0000317	B5M19_RS02720	DR082_RS02740
OG0000318	B5M19_RS00825	DR082_RS03940
OG0000319	B5M19_RS02945	DR082_RS01885
OG0000320	B5M19_RS04425	DR082_RS01950
OG0000321	B5M19_RS01240	DR082_RS02015
OG0000322	B5M19_RS01195	DR082_RS02060
OG0000323	B5M19_RS01065	DR082_RS02765
OG0000324	B5M19_RS03240	DR082_RS02160
OG0000325	B5M19_RS01845	DR082_RS02200
OG0000326	B5M19_RS01750	DR082_RS02295
OG0000327	B5M19_RS01745	DR082_RS02300
OG0000328	B5M19_RS01660	DR082_RS01275
OG0000329	B5M19_RS01640	DR082_RS01295
OG0000330	B5M19_RS02210	DR082_RS01480
OG0000331	B5M19_RS01285	DR082_RS01600
OG0000332	B5M19_RS01520	DR082_RS01720
OG0000333	B5M19_RS01530	DR082_RS01730
OG0000334	B5M19_RS03040	DR082_RS01795
OG0000335	B5M19_RS03030	DR082_RS03765
OG0000336	B5M19_RS00505	DR082_RS03865
OG0000337	B5M19_RS01985	DR082_RS00015
OG0000338	B5M19_RS01940	DR082_RS00055
OG0000339	B5M19_RS03615	DR082_RS01970
OG0000340	B5M19_RS02565	DR082_RS01995
OG0000341	B5M19_RS03220	DR082_RS02140
OG0000342	B5M19_RS01815	DR082_RS02230
OG0000343	B5M19_RS04195	DR082_RS01740
OG0000344	B5M19_RS02425	DR082_RS00580
OG0000345	B5M19_RS03135	DR082_RS01410
OG0000346	B5M19_RS04590	DR082_RS03860
OG0000347	B5M19_RS01170	DR082_RS02875
OG0000348	B5M19_RS01740	DR082_RS03815
OG0000349	B5M19_RS00440	DR082_RS02450
OG0000350	B5M19_RS02515	DR082_RS00815
OG0000351	B5M19_RS03490	DR082_RS00515
OG0000352	B5M19_RS00755	DR082_RS02615
OG0000353	B5M19_RS01200	DR082_RS02055
OG0000354	B5M19_RS03080	DR082_RS00630
OG0000355	B5M19_RS00725	DR082_RS03715
OG0000356	B5M19_RS00815	DR082_RS03900
OG0000357	B5M19_RS01500	DR082_RS03750
OG0000358	B5M19_RS01505	DR082_RS01705
OG0000359	B5M19_RS01770	DR082_RS03810
OG0000360	B5M19_RS00195	DR082_RS00295
OG0000361	B5M19_RS00225	DR082_RS00325
OG0000362	B5M19_RS01025	DR082_RS01050
OG0000363	B5M19_RS01125	DR082_RS03985
OG0000365	B5M19_RS02775	DR082_RS03955
OG0000366	B5M19_RS02750	DR082_RS02710
OG0000367	B5M19_RS02740	DR082_RS02720
OG0000368	B5M19_RS04270	DR082_RS00120
OG0000369	B5M19_RS01910	DR082_RS03655
OG0000370	B5M19_RS01915	DR082_RS00080
OG0000371	B5M19_RS01920	DR082_RS00075
OG0000372	B5M19_RS01925	DR082_RS00070
OG0000373	B5M19_RS01950	DR082_RS00045
OG0000374	B5M19_RS01960	DR082_RS00035
OG0000375	B5M19_RS02950	DR082_RS01880
OG0000376	B5M19_RS02670	DR082_RS01935
OG0000377	B5M19_RS02680	DR082_RS01945
OG0000378	B5M19_RS02585	DR082_RS01980
OG0000379	B5M19_RS01205	DR082_RS02050
OG0000381	B5M19_RS01140	DR082_RS02845
OG0000382	B5M19_RS01105	DR082_RS02810
OG0000383	B5M19_RS01070	DR082_RS02770
OG0000384	B5M19_RS02365	DR082_RS00520
OG0000385	B5M19_RS02370	DR082_RS00525
OG0000386	B5M19_RS02390	DR082_RS00545
OG0000387	B5M19_RS02415	DR082_RS00570
OG0000388	B5M19_RS02420	DR082_RS03680
OG0000389	B5M19_RS03095	DR082_RS00610
OG0000390	B5M19_RS01365	DR082_RS00710
OG0000391	B5M19_RS01375	DR082_RS00720
OG0000392	B5M19_RS01400	DR082_RS00745
OG0000393	B5M19_RS03515	DR082_RS00800
OG0000394	B5M19_RS02490	DR082_RS00870
OG0000395	B5M19_RS02485	DR082_RS00875
OG0000396	B5M19_RS02845	DR082_RS01180
OG0000397	B5M19_RS00740	DR082_RS02600
OG0000398	B5M19_RS00745	DR082_RS02605
OG0000399	B5M19_RS00795	DR082_RS02650
OG0000400	B5M19_RS01460	DR082_RS01665
OG0000401	B5M19_RS01525	DR082_RS01725
OG0000402	B5M19_RS01535	DR082_RS01735
OG0000404	B5M19_RS04205	DR082_RS03755
OG0000405	B5M19_RS01590	DR082_RS01780
OG0000406	B5M19_RS03025	DR082_RS01810
OG0000407	B5M19_RS03020	DR082_RS03770
OG0000408	B5M19_RS03015	DR082_RS01820
OG0000409	B5M19_RS03010	DR082_RS01825
OG0000410	B5M19_RS03100	DR082_RS02945
OG0000411	B5M19_RS03110	DR082_RS02935
OG0000412	B5M19_RS03115	DR082_RS02930
OG0000413	B5M19_RS03555	DR082_RS02090
OG0000414	B5M19_RS03545	DR082_RS02100
OG0000415	B5M19_RS03540	DR082_RS02105
OG0000416	B5M19_RS03530	DR082_RS02115
OG0000417	B5M19_RS03225	DR082_RS02145
OG0000418	B5M19_RS03230	DR082_RS02150
OG0000419	B5M19_RS01835	DR082_RS02210
OG0000420	B5M19_RS01800	DR082_RS02245
OG0000421	B5M19_RS01765	DR082_RS02280
OG0000422	B5M19_RS01755	DR082_RS02290
OG0000423	B5M19_RS01700	DR082_RS01235
OG0000424	B5M19_RS01695	DR082_RS01240
OG0000425	B5M19_RS01685	DR082_RS01250
OG0000426	B5M19_RS01680	DR082_RS03720
OG0000427	B5M19_RS01655	DR082_RS03725
OG0000428	B5M19_RS01630	DR082_RS01305
OG0000430	B5M19_RS03170	DR082_RS01445
OG0000431	B5M19_RS03180	DR082_RS01455
OG0000432	B5M19_RS04345	DR082_RS01475
OG0000433	B5M19_RS02200	DR082_RS01485
OG0000434	B5M19_RS02195	DR082_RS01490
OG0000435	B5M19_RS02180	DR082_RS01505
OG0000436	B5M19_RS02150	DR082_RS01545
OG0000437	B5M19_RS02140	DR082_RS01555
OG0000438	B5M19_RS02135	DR082_RS03740
OG0000439	B5M19_RS02130	DR082_RS01565
OG0000440	B5M19_RS04165	DR082_RS01580
OG0000441	B5M19_RS01265	DR082_RS01620
OG0000442	B5M19_RS00055	DR082_RS00150
OG0000443	B5M19_RS00105	DR082_RS00210
OG0000444	B5M19_RS00120	DR082_RS00225
OG0000445	B5M19_RS00145	DR082_RS00250
OG0000446	B5M19_RS00175	DR082_RS00275
OG0000447	B5M19_RS00180	DR082_RS00280
OG0000448	B5M19_RS00210	DR082_RS00310
OG0000449	B5M19_RS00235	DR082_RS00335
OG0000450	B5M19_RS00245	DR082_RS00345
OG0000451	B5M19_RS00295	DR082_RS00385
OG0000452	B5M19_RS00330	DR082_RS00410
OG0000453	B5M19_RS04040	DR082_RS00445
OG0000455	B5M19_RS00395	DR082_RS03825
OG0000456	B5M19_RS00515	DR082_RS02525
OG0000457	B5M19_RS00540	DR082_RS02550
OG0000458	B5M19_RS01055	DR082_RS01080
OG0000459	B5M19_RS01030	DR082_RS01055
OG0000460	B5M19_RS01020	DR082_RS01045
OG0000461	B5M19_RS04125	DR082_RS01000
OG0000462	B5M19_RS00980	DR082_RS01005
OG0000463	B5M19_RS04130	DR082_RS01010
OG0000464	B5M19_RS00990	DR082_RS01015
OG0000465	B5M19_RS00995	DR082_RS01020
OG0000467	B5M19_RS00895	DR082_RS03705
OG0000468	B5M19_RS00790	DR082_RS02645
OG0000469	B5M19_RS00850	DR082_RS02985
OG0000470	B5M19_RS03910	DR082_RS01230
OG0000471	B5M19_RS01625	DR082_RS01310
OG0000472	B5M19_RS00580	DR082_RS02585
OG0000473	B5M19_RS00410	DR082_RS02350
OG0000474	B5M19_RS00405	DR082_RS02355
OG0000475	B5M19_RS00400	DR082_RS02360
OG0000476	B5M19_RS03280	DR082_RS02400
OG0000477	B5M19_RS00950	DR082_RS00975
OG0000478	B5M19_RS00465	DR082_RS02475
OG0000479	B5M19_RS04145	DR082_RS02010
OG0000480	B5M19_RS03895	DR082_RS03145
OG0000481	B5M19_RS01730	DR082_RS02315
OG0000482	B5M19_RS03730	DR082_RS02175
OG0000483	B5M19_RS02735	DR082_RS02725
OG0000484	B5M19_RS00115	DR082_RS03665
OG0000485	B5M19_RS02145	DR082_RS01550
OG0000486	B5M19_RS03205	DR082_RS02125
OG0000487	B5M19_RS00830	DR082_RS03945
OG0000488	B5M19_RS02770	DR082_RS02695
OG0000489	B5M19_RS01885	DR082_RS00110
OG0000490	B5M19_RS01945	DR082_RS00050
OG0000491	B5M19_RS01225	DR082_RS02030
OG0000492	B5M19_RS04140	DR082_RS02855
OG0000493	B5M19_RS02430	DR082_RS00585
OG0000494	B5M19_RS03075	DR082_RS00635
OG0000495	B5M19_RS01430	DR082_RS00775
OG0000497	B5M19_RS01445	DR082_RS00790
OG0000498	B5M19_RS02495	DR082_RS00865
OG0000499	B5M19_RS00870	DR082_RS00905
OG0000500	B5M19_RS00750	DR082_RS02610
OG0000501	B5M19_RS01470	DR082_RS01675
OG0000502	B5M19_RS02350	DR082_RS02185
OG0000503	B5M19_RS04250	DR082_RS02260
OG0000504	B5M19_RS01650	DR082_RS01285
OG0000505	B5M19_RS03420	DR082_RS01320
OG0000506	B5M19_RS03410	DR082_RS01330
OG0000507	B5M19_RS03375	DR082_RS01365
OG0000508	B5M19_RS00170	DR082_RS00270
OG0000509	B5M19_RS00205	DR082_RS00305
OG0000510	B5M19_RS00215	DR082_RS00315
OG0000511	B5M19_RS03685	DR082_RS00450
OG0000512	B5M19_RS01015	DR082_RS01040
OG0000513	B5M19_RS00480	DR082_RS02490
OG0000514	B5M19_RS01405	DR082_RS00750
OG0000516	B5M19_RS00835	DR082_RS02960
OG0000517	B5M19_RS01870	DR082_RS00125
OG0000518	B5M19_RS01515	DR082_RS01715
OG0000519	B5M19_RS01760	DR082_RS02285
OG0000520	B5M19_RS01635	DR082_RS01300
OG0000521	B5M19_RS00185	DR082_RS00285
OG0000522	B5M19_RS00220	DR082_RS00320
OG0000523	B5M19_RS00545	DR082_RS02555
OG0000524	B5M19_RS00900	DR082_RS00935
OG0000525	B5M19_RS00575	DR082_RS03885
OG0000528	B5M19_RS00840	DR082_RS02970
OG0000529	B5M19_RS02935	DR082_RS01895
OG0000530	B5M19_RS02705	DR082_RS01960
OG0000531	B5M19_RS01175	DR082_RS03140
OG0000533	B5M19_RS04515	DR082_RS01465
OG0000535	B5M19_RS04610	DR082_RS00105
OG0000536	B5M19_RS00365	DR082_RS02425
OG0000537	B5M19_RS01820	DR082_RS02225
OG0000538	B5M19_RS04340	DR082_RS01495
OG0000539	B5M19_RS00130	DR082_RS00235
OG0000541	B5M19_RS00855	DR082_RS00890
OG0000542	B5M19_RS00275	DR082_RS00370
OG0000547	B5M19_RS01355	DR082_RS00700
OG0000548	B5M19_RS03295	DR082_RS01185
OG0000549	B5M19_RS00585	DR082_RS03890
OG0000550	B5M19_RS04055	DR082_RS02455
OG0000551	B5M19_RS01275	DR082_RS01610
OG0000555	B5M19_RS01350	DR082_RS03245
OG0000596	B5M19_RS02110	DR082_RS00170
OG0000598	B5M19_RS02115	DR082_RS00165
OG0000599	B5M19_RS02120	DR082_RS00160
