Orthogroup	MHP_TB1_genes	MHP_MHP691_genes
OG0000372	B5M19_RS01925	DR087_RS00440
OG0000373	B5M19_RS01950	DR087_RS00415
OG0000374	B5M19_RS01960	DR087_RS00405
OG0000375	B5M19_RS02950	DR087_RS00190
OG0000376	B5M19_RS02670	DR087_RS01705
OG0000377	B5M19_RS02680	DR087_RS01715
OG0000378	B5M19_RS02585	DR087_RS03315
OG0000379	B5M19_RS01205	DR087_RS01160
OG0000380	B5M19_RS01180	DR087_RS01135
OG0000381	B5M19_RS01140	DR087_RS01095
OG0000382	B5M19_RS01105	DR087_RS01065
OG0000383	B5M19_RS01070	DR087_RS01025
OG0000384	B5M19_RS02365	DR087_RS03460
OG0000385	B5M19_RS02370	DR087_RS03455
OG0000386	B5M19_RS02390	DR087_RS02875
OG0000387	B5M19_RS02415	DR087_RS02900
OG0000388	B5M19_RS02420	DR087_RS04720
OG0000389	B5M19_RS03095	DR087_RS03170
OG0000390	B5M19_RS01365	DR087_RS01460
OG0000391	B5M19_RS01375	DR087_RS01450
OG0000392	B5M19_RS01400	DR087_RS01425
OG0000393	B5M19_RS03515	DR087_RS04575
OG0000394	B5M19_RS02490	DR087_RS03560
OG0000395	B5M19_RS02485	DR087_RS03550
OG0000396	B5M19_RS02845	DR087_RS02430
OG0000397	B5M19_RS00740	DR087_RS01540
OG0000398	B5M19_RS00745	DR087_RS01535
OG0000399	B5M19_RS00795	DR087_RS00015
OG0000400	B5M19_RS01460	DR087_RS00995
OG0000401	B5M19_RS01525	DR087_RS00935
OG0000402	B5M19_RS01535	DR087_RS00925
OG0000404	B5M19_RS04205	DR087_RS00885
OG0000405	B5M19_RS01590	DR087_RS00870
OG0000406	B5M19_RS03025	DR087_RS00810
OG0000407	B5M19_RS03020	DR087_RS04515
OG0000408	B5M19_RS03015	DR087_RS00800
OG0000409	B5M19_RS03010	DR087_RS00795
OG0000410	B5M19_RS03100	DR087_RS02135
OG0000411	B5M19_RS03110	DR087_RS02145
OG0000412	B5M19_RS03115	DR087_RS02150
OG0000413	B5M19_RS03555	DR087_RS00355
OG0000414	B5M19_RS03545	DR087_RS03435
OG0000415	B5M19_RS03540	DR087_RS03430
OG0000416	B5M19_RS03530	DR087_RS03420
OG0000417	B5M19_RS03225	DR087_RS00250
OG0000418	B5M19_RS03230	DR087_RS00245
OG0000419	B5M19_RS01835	DR087_RS02205
OG0000420	B5M19_RS01800	DR087_RS02240
OG0000421	B5M19_RS01765	DR087_RS02275
OG0000422	B5M19_RS01755	DR087_RS02285
OG0000423	B5M19_RS01700	DR087_RS02600
OG0000424	B5M19_RS01695	DR087_RS02595
OG0000425	B5M19_RS01685	DR087_RS02585
OG0000426	B5M19_RS01680	DR087_RS04695
OG0000427	B5M19_RS01655	DR087_RS04690
OG0000428	B5M19_RS01630	DR087_RS02530
OG0000430	B5M19_RS03170	DR087_RS02750
OG0000431	B5M19_RS03180	DR087_RS02760
OG0000432	B5M19_RS04345	DR087_RS02000
OG0000433	B5M19_RS02200	DR087_RS01985
OG0000434	B5M19_RS02195	DR087_RS01980
OG0000435	B5M19_RS02180	DR087_RS01965
OG0000436	B5M19_RS02150	DR087_RS01935
OG0000437	B5M19_RS02140	DR087_RS01925
OG0000438	B5M19_RS02135	DR087_RS01920
OG0000439	B5M19_RS02130	DR087_RS04620
OG0000440	B5M19_RS04165	DR087_RS03345
OG0000441	B5M19_RS01265	DR087_RS03395
OG0000442	B5M19_RS00055	DR087_RS04770
OG0000443	B5M19_RS00105	DR087_RS02370
OG0000444	B5M19_RS00120	DR087_RS02355
OG0000445	B5M19_RS00145	DR087_RS02330
OG0000446	B5M19_RS00175	DR087_RS01775
OG0000447	B5M19_RS00180	DR087_RS01780
OG0000448	B5M19_RS00210	DR087_RS01810
OG0000449	B5M19_RS00235	DR087_RS01835
OG0000450	B5M19_RS00245	DR087_RS01845
OG0000451	B5M19_RS00295	DR087_RS01885
OG0000452	B5M19_RS00330	DR087_RS03005
OG0000453	B5M19_RS04040	DR087_RS03040
OG0000454	B5M19_RS03255, B5M19_RS04505	DR087_RS02015
OG0000455	B5M19_RS00395	DR087_RS00740
