Orthogroup	MHP_TB1_genes	MFC_ATCC27716_genes
OG0000235	B5M19_RS02175	MFC_RS02230
OG0000236	B5M19_RS02170	MFC_RS02235
OG0000237	B5M19_RS02165	MFC_RS02250
OG0000238	B5M19_RS02155	MFC_RS02255
OG0000239	B5M19_RS01315	MFC_RS02285
OG0000240	B5M19_RS01310	MFC_RS02290
OG0000241	B5M19_RS01300	MFC_RS02300
OG0000242	B5M19_RS04160	MFC_RS02305
OG0000243	B5M19_RS01290	MFC_RS02310
OG0000244	B5M19_RS01280	MFC_RS02320
OG0000245	B5M19_RS01270	MFC_RS02330
OG0000246	B5M19_RS00050	MFC_RS02345
OG0000247	B5M19_RS00060	MFC_RS02355
OG0000248	B5M19_RS00070	MFC_RS02380
OG0000249	B5M19_RS00075	MFC_RS02385
OG0000250	B5M19_RS03880	MFC_RS02400
OG0000251	B5M19_RS00125	MFC_RS02430
OG0000252	B5M19_RS00135	MFC_RS02440
OG0000253	B5M19_RS00140	MFC_RS02445
OG0000254	B5M19_RS00150	MFC_RS02455
OG0000255	B5M19_RS00160	MFC_RS02465
OG0000256	B5M19_RS00165	MFC_RS02470
OG0000257	B5M19_RS00190	MFC_RS02495
OG0000258	B5M19_RS04020	MFC_RS02505
OG0000259	B5M19_RS00230	MFC_RS02535
OG0000260	B5M19_RS00240	MFC_RS02545
OG0000261	B5M19_RS00250	MFC_RS02555
OG0000262	B5M19_RS00270	MFC_RS02570
OG0000263	B5M19_RS00285	MFC_RS02585
OG0000264	B5M19_RS04030	MFC_RS02600
OG0000265	B5M19_RS00315	MFC_RS02610
OG0000266	B5M19_RS00335	MFC_RS02625
OG0000267	B5M19_RS04035	MFC_RS02640
OG0000268	B5M19_RS00355	MFC_RS02645
OG0000269	B5M19_RS03680	MFC_RS02660
OG0000270	B5M19_RS00415	MFC_RS02720
OG0000271	B5M19_RS00420	MFC_RS02725
OG0000272	B5M19_RS00425	MFC_RS02730
OG0000273	B5M19_RS00430	MFC_RS02735
OG0000274	B5M19_RS00450	MFC_RS02755
OG0000275	B5M19_RS00455	MFC_RS03455
OG0000276	B5M19_RS00460	MFC_RS02765
OG0000277	B5M19_RS00470	MFC_RS02775
OG0000278	B5M19_RS00475	MFC_RS02780
OG0000279	B5M19_RS00485	MFC_RS02790
OG0000280	B5M19_RS00490	MFC_RS02795
OG0000281	B5M19_RS00495	MFC_RS03255
OG0000282	B5M19_RS00520	MFC_RS02820
OG0000283	B5M19_RS00525	MFC_RS02825
OG0000284	B5M19_RS00530	MFC_RS02830
OG0000285	B5M19_RS00535	MFC_RS02835
OG0000286	B5M19_RS02850	MFC_RS02865
OG0000287	B5M19_RS01050	MFC_RS02890
OG0000288	B5M19_RS01040	MFC_RS02900
OG0000289	B5M19_RS01035	MFC_RS02905
OG0000290	B5M19_RS04120	MFC_RS03030
OG0000291	B5M19_RS00935	MFC_RS03040
OG0000292	B5M19_RS00940	MFC_RS03045
OG0000293	B5M19_RS00945	MFC_RS03050
OG0000294	B5M19_RS00955	MFC_RS03060
OG0000295	B5M19_RS00960	MFC_RS03065
OG0000296	B5M19_RS01000	MFC_RS03110
OG0000297	B5M19_RS01005	MFC_RS03115
OG0000298	B5M19_RS00085	MFC_RS02395
OG0000299	B5M19_RS00110	MFC_RS02415
OG0000300	B5M19_RS00300	MFC_RS02595
OG0000301	B5M19_RS00340	MFC_RS02630
OG0000302	B5M19_RS00345	MFC_RS02635
OG0000303	B5M19_RS02410	MFC_RS00835
OG0000304	B5M19_RS03190	MFC_RS00865
OG0000305	B5M19_RS01385	MFC_RS01010
OG0000306	B5M19_RS02560	MFC_RS01090
OG0000307	B5M19_RS02525	MFC_RS01130
OG0000308	B5M19_RS00905	MFC_RS03020
OG0000309	B5M19_RS00970	MFC_RS03075
OG0000310	B5M19_RS01045	MFC_RS02895
OG0000311	B5M19_RS02790	MFC_RS01220
OG0000312	B5M19_RS02805	MFC_RS01240
OG0000313	B5M19_RS03300	MFC_RS01290
OG0000314	B5M19_RS00780	MFC_RS01360
OG0000315	B5M19_RS00810	MFC_RS01390
OG0000316	B5M19_RS00820	MFC_RS01400
OG0000317	B5M19_RS02720	MFC_RS00110
OG0000318	B5M19_RS00825	MFC_RS00020
OG0000319	B5M19_RS02945	MFC_RS00420
OG0000320	B5M19_RS04425	MFC_RS00485
OG0000321	B5M19_RS01240	MFC_RS00550
OG0000322	B5M19_RS01195	MFC_RS00595
OG0000323	B5M19_RS01065	MFC_RS00725
OG0000324	B5M19_RS03240	MFC_RS01775
OG0000325	B5M19_RS01845	MFC_RS01815
OG0000326	B5M19_RS01750	MFC_RS01905
OG0000327	B5M19_RS01745	MFC_RS01910
OG0000328	B5M19_RS01660	MFC_RS01995
OG0000329	B5M19_RS01640	MFC_RS02020
OG0000330	B5M19_RS02210	MFC_RS02200
OG0000331	B5M19_RS01285	MFC_RS02315
OG0000332	B5M19_RS01520	MFC_RS01505
OG0000333	B5M19_RS01530	MFC_RS01515
OG0000334	B5M19_RS03040	MFC_RS01585
OG0000335	B5M19_RS03030	MFC_RS01595
OG0000336	B5M19_RS00505	MFC_RS02805
OG0000337	B5M19_RS01985	MFC_RS00280
OG0000338	B5M19_RS01940	MFC_RS00240
OG0000339	B5M19_RS03615	MFC_RS00505
OG0000340	B5M19_RS02565	MFC_RS00530
OG0000341	B5M19_RS03220	MFC_RS01755
OG0000342	B5M19_RS01815	MFC_RS01845
OG0000343	B5M19_RS04195	MFC_RS01525
OG0000344	B5M19_RS02425	MFC_RS00850
OG0000345	B5M19_RS03135	MFC_RS02130
OG0000346	B5M19_RS04590	MFC_RS02800
OG0000347	B5M19_RS01170	MFC_RS00620
OG0000348	B5M19_RS01740	MFC_RS01915
OG0000349	B5M19_RS00440	MFC_RS02745
OG0000350	B5M19_RS02515	MFC_RS03345
OG0000351	B5M19_RS03490	MFC_RS00785
OG0000352	B5M19_RS00755	MFC_RS01340
OG0000353	B5M19_RS01200	MFC_RS00590
OG0000354	B5M19_RS03080	MFC_RS00900
OG0000355	B5M19_RS00725	MFC_RS01315
OG0000356	B5M19_RS00815	MFC_RS01395
OG0000357	B5M19_RS01500	MFC_RS01485
OG0000358	B5M19_RS01505	MFC_RS01490
OG0000359	B5M19_RS01770	MFC_RS01885
OG0000360	B5M19_RS00195	MFC_RS02500
OG0000361	B5M19_RS00225	MFC_RS02530
OG0000362	B5M19_RS01025	MFC_RS02915
OG0000363	B5M19_RS01125	MFC_RS00660
OG0000365	B5M19_RS02775	MFC_RS00050
OG0000366	B5M19_RS02750	MFC_RS00080
OG0000367	B5M19_RS02740	MFC_RS00090
OG0000368	B5M19_RS04270	MFC_RS00175
OG0000369	B5M19_RS01910	MFC_RS00210
OG0000370	B5M19_RS01915	MFC_RS00215
OG0000371	B5M19_RS01920	MFC_RS00220
OG0000372	B5M19_RS01925	MFC_RS00225
OG0000373	B5M19_RS01950	MFC_RS00250
OG0000374	B5M19_RS01960	MFC_RS00260
OG0000375	B5M19_RS02950	MFC_RS00415
