Orthogroup	MHP_112B_genes	MHP_J_genes
OG0000443	NBX26_RS00185	MHJ_RS00165
OG0000444	NBX26_RS00200	MHJ_RS00180
OG0000445	NBX26_RS00225	MHJ_RS00205
OG0000446	NBX26_RS00250	MHJ_RS00235
OG0000447	NBX26_RS00255	MHJ_RS00240
OG0000448	NBX26_RS00290	MHJ_RS00270
OG0000449	NBX26_RS00310	MHJ_RS00295
OG0000450	NBX26_RS00320	MHJ_RS00305
OG0000451	NBX26_RS00360	MHJ_RS00345
OG0000452	NBX26_RS00385	MHJ_RS00370
OG0000453	NBX26_RS00420	MHJ_RS00405
OG0000454	NBX26_RS01695, NBX26_RS01760	MHJ_RS01590
OG0000455	NBX26_RS03710	MHJ_RS03480
OG0000456	NBX26_RS03590	MHJ_RS03365
OG0000457	NBX26_RS03565	MHJ_RS03340
OG0000458	NBX26_RS02675	MHJ_RS02470
OG0000460	NBX26_RS02710	MHJ_RS02505
OG0000461	NBX26_RS02755	MHJ_RS02550
OG0000462	NBX26_RS02750	MHJ_RS02545
OG0000463	NBX26_RS02745	MHJ_RS02540
OG0000464	NBX26_RS02740	MHJ_RS02535
OG0000465	NBX26_RS02735	MHJ_RS02530
OG0000466	NBX26_RS00390	MHJ_RS00375
OG0000467	NBX26_RS02855	MHJ_RS02640
OG0000468	NBX26_RS02135	MHJ_RS01920
OG0000469	NBX26_RS02075	MHJ_RS01980
OG0000470	NBX26_RS00850	MHJ_RS03785
OG0000471	NBX26_RS00930	MHJ_RS00895
OG0000472	NBX26_RS03515	MHJ_RS03300
OG0000473	NBX26_RS03695	MHJ_RS03465
OG0000474	NBX26_RS03700	MHJ_RS03470
OG0000475	NBX26_RS03705	MHJ_RS03475
OG0000476	NBX26_RS01685	MHJ_RS01525
OG0000477	NBX26_RS02780	MHJ_RS02580
OG0000478	NBX26_RS03640	MHJ_RS03410
OG0000479	NBX26_RS01450	MHJ_RS01300
OG0000480	NBX26_RS02070	MHJ_RS03770
OG0000481	NBX26_RS00825	MHJ_RS00790
OG0000482	NBX26_RS01335	MHJ_RS01185
OG0000483	NBX26_RS02020	MHJ_RS02025
OG0000484	NBX26_RS00195	MHJ_RS00175
OG0000485	NBX26_RS01300	MHJ_RS01140
OG0000486	NBX26_RS02460	MHJ_RS02255
OG0000487	NBX26_RS02095	MHJ_RS01960
OG0000488	NBX26_RS02055	MHJ_RS01995
OG0000489	NBX26_RS00050	MHJ_RS00050
OG0000490	NBX26_RS03800	MHJ_RS03570
OG0000492	NBX26_RS01555	MHJ_RS01395
OG0000493	NBX26_RS00580	MHJ_RS00565
OG0000494	NBX26_RS00640	MHJ_RS00625
OG0000495	NBX26_RS03015	MHJ_RS02805
OG0000496	NBX26_RS03000	MHJ_RS02795
OG0000497	NBX26_RS02995	MHJ_RS02790
OG0000498	NBX26_RS02910	MHJ_RS02700
OG0000499	NBX26_RS02875	MHJ_RS02665
OG0000500	NBX26_RS02170	MHJ_RS01880
OG0000501	NBX26_RS03235	MHJ_RS03040
OG0000502	NBX26_RS01325	MHJ_RS01175
OG0000503	NBX26_RS00770	MHJ_RS00735
OG0000504	NBX26_RS00905	MHJ_RS00870
OG0000505	NBX26_RS01070	MHJ_RS00905
OG0000507	NBX26_RS01115	MHJ_RS00950
OG0000508	NBX26_RS00245	MHJ_RS00230
OG0000511	NBX26_RS00425	MHJ_RS00410
OG0000512	NBX26_RS02715	MHJ_RS02510
