Orthogroup	MHP_133A_genes	MHP_MHP691_genes
OG0000352	NB626_RS02065	DR087_RS01525
OG0000353	NB626_RS01490	DR087_RS01155
OG0000354	NB626_RS00735	DR087_RS03150
OG0000355	NB626_RS02040	DR087_RS04595
OG0000356	NB626_RS02120	DR087_RS04395
OG0000357	NB626_RS03275	DR087_RS04525
OG0000358	NB626_RS03280	DR087_RS00955
OG0000359	NB626_RS00880	DR087_RS04665
OG0000360	NB626_RS00275	DR087_RS01795
OG0000361	NB626_RS00305	DR087_RS01825
OG0000362	NB626_RS02725	DR087_RS02965
OG0000363	NB626_RS01565	DR087_RS04545
OG0000364	NB626_RS02015	DR087_RS01580
OG0000365	NB626_RS02175	DR087_RS04420
OG0000366	NB626_RS02195	DR087_RS00100
OG0000367	NB626_RS02205	DR087_RS00110
OG0000368	NB626_RS00060	DR087_RS00490
OG0000369	NB626_RS00025	DR087_RS04455
OG0000371	NB626_RS00015	DR087_RS04765
OG0000372	NB626_RS00010	DR087_RS00440
OG0000373	NB626_RS03810	DR087_RS00415
OG0000374	NB626_RS03800	DR087_RS00405
OG0000375	NB626_RS02380	DR087_RS00190
OG0000376	NB626_RS02540	DR087_RS01705
OG0000377	NB626_RS02530	DR087_RS01715
OG0000379	NB626_RS01485	DR087_RS01160
OG0000380	NB626_RS01520	DR087_RS01135
OG0000381	NB626_RS01555	DR087_RS01095
OG0000382	NB626_RS01585	DR087_RS01065
OG0000383	NB626_RS01625	DR087_RS01025
OG0000384	NB626_RS00615	DR087_RS03460
OG0000385	NB626_RS00625	DR087_RS03455
OG0000386	NB626_RS00640	DR087_RS02875
OG0000387	NB626_RS00665	DR087_RS02900
OG0000388	NB626_RS00670	DR087_RS04720
OG0000389	NB626_RS00715	DR087_RS03170
OG0000390	NB626_RS03085	DR087_RS01460
OG0000391	NB626_RS03075	DR087_RS01450
OG0000392	NB626_RS03050	DR087_RS01425
OG0000393	NB626_RS02995	DR087_RS04575
OG0000394	NB626_RS02915	DR087_RS03560
OG0000395	NB626_RS02910	DR087_RS03550
OG0000396	NB626_RS02605	DR087_RS02430
OG0000397	NB626_RS02050	DR087_RS01540
OG0000398	NB626_RS02060	DR087_RS01535
OG0000399	NB626_RS02100	DR087_RS00015
OG0000400	NB626_RS03240	DR087_RS00995
OG0000401	NB626_RS03305	DR087_RS00935
OG0000402	NB626_RS03315	DR087_RS00925
OG0000403	NB626_RS03325	DR087_RS00915
OG0000404	NB626_RS03360	DR087_RS00885
OG0000405	NB626_RS03375	DR087_RS00870
OG0000406	NB626_RS03430	DR087_RS00810
OG0000407	NB626_RS03435	DR087_RS04515
OG0000408	NB626_RS03440	DR087_RS00800
OG0000409	NB626_RS03445	DR087_RS00795
OG0000410	NB626_RS03510	DR087_RS02135
OG0000411	NB626_RS03495	DR087_RS02145
OG0000412	NB626_RS03490	DR087_RS02150
OG0000413	NB626_RS01640	DR087_RS00355
OG0000414	NB626_RS01650	DR087_RS03435
OG0000415	NB626_RS01655	DR087_RS03430
OG0000416	NB626_RS01665	DR087_RS03420
OG0000417	NB626_RS02445	DR087_RS00250
OG0000418	NB626_RS02435	DR087_RS00245
OG0000419	NB626_RS00815	DR087_RS02205
OG0000420	NB626_RS00850	DR087_RS02240
OG0000421	NB626_RS00895	DR087_RS02275
OG0000422	NB626_RS00905	DR087_RS02285
OG0000423	NB626_RS00965	DR087_RS02600
OG0000424	NB626_RS00970	DR087_RS02595
OG0000425	NB626_RS00980	DR087_RS02585
OG0000426	NB626_RS00985	DR087_RS04695
OG0000427	NB626_RS01010	DR087_RS04690
OG0000428	NB626_RS01040	DR087_RS02530
OG0000429	NB626_RS01135	DR087_RS02705
OG0000431	NB626_RS01190	DR087_RS02760
OG0000432	NB626_RS01220	DR087_RS02000
OG0000433	NB626_RS01235	DR087_RS01985
OG0000434	NB626_RS01245	DR087_RS01980
OG0000435	NB626_RS01255	DR087_RS01965
OG0000436	NB626_RS01280	DR087_RS01935
OG0000437	NB626_RS01290	DR087_RS01925
OG0000438	NB626_RS01295	DR087_RS01920
OG0000439	NB626_RS01300	DR087_RS04620
OG0000440	NB626_RS03135	DR087_RS03345
OG0000441	NB626_RS03180	DR087_RS03395
OG0000442	NB626_RS00145	DR087_RS04770
OG0000443	NB626_RS00190	DR087_RS02370
OG0000444	NB626_RS00205	DR087_RS02355
OG0000445	NB626_RS00230	DR087_RS02330
OG0000446	NB626_RS00255	DR087_RS01775
OG0000447	NB626_RS00265	DR087_RS01780
OG0000448	NB626_RS00290	DR087_RS01810
OG0000449	NB626_RS00315	DR087_RS01835
OG0000450	NB626_RS00325	DR087_RS01845
OG0000451	NB626_RS00370	DR087_RS01885
OG0000452	NB626_RS00395	DR087_RS03005
OG0000453	NB626_RS00525	DR087_RS03040
OG0000454	NB626_RS01685	DR087_RS02015
OG0000455	NB626_RS03720	DR087_RS00740
OG0000456	NB626_RS03595	DR087_RS00620
OG0000457	NB626_RS03565	DR087_RS00595
OG0000458	NB626_RS02695	DR087_RS02935
OG0000459	NB626_RS02720	DR087_RS02960
OG0000460	NB626_RS02730	DR087_RS02970
OG0000461	NB626_RS02775	DR087_RS01335
OG0000462	NB626_RS02770	DR087_RS01340
OG0000463	NB626_RS02765	DR087_RS01350
OG0000464	NB626_RS02760	DR087_RS03000
OG0000465	NB626_RS02755	DR087_RS02995
OG0000466	NB626_RS00400	DR087_RS03010
OG0000467	NB626_RS02860	DR087_RS04570
OG0000468	NB626_RS02095	DR087_RS00010
OG0000469	NB626_RS02160	DR087_RS00070
OG0000470	NB626_RS00960	DR087_RS03755
OG0000471	NB626_RS01045	DR087_RS02525
OG0000472	NB626_RS03515	DR087_RS02125
OG0000473	NB626_RS03705	DR087_RS00725
OG0000474	NB626_RS03710	DR087_RS00730
OG0000475	NB626_RS03715	DR087_RS00735
OG0000476	NB626_RS01675	DR087_RS03410
OG0000477	NB626_RS02805	DR087_RS01310
OG0000478	NB626_RS03650	DR087_RS00670
OG0000479	NB626_RS01445	DR087_RS01200
OG0000480	NB626_RS02165	DR087_RS03730
OG0000481	NB626_RS00935	DR087_RS02310
OG0000482	NB626_RS01325	DR087_RS02795
OG0000483	NB626_RS02210	DR087_RS00115
OG0000484	NB626_RS00200	DR087_RS04670
OG0000485	NB626_RS01285	DR087_RS01930
OG0000486	NB626_RS02465	DR087_RS00270
OG0000487	NB626_RS02150	DR087_RS04405
