Orthogroup	MHP_J_genes	MHP_TB1_genes
OG0000317	MHJ_RS02040	B5M19_RS02720
OG0000318	MHJ_RS01955	B5M19_RS00825
OG0000319	MHJ_RS02180	B5M19_RS02945
OG0000320	MHJ_RS02305	B5M19_RS04425
OG0000321	MHJ_RS01305	B5M19_RS01240
OG0000322	MHJ_RS01350	B5M19_RS01195
OG0000323	MHJ_RS01480	B5M19_RS01065
OG0000324	MHJ_RS02220	B5M19_RS03240
OG0000325	MHJ_RS00680	B5M19_RS01845
OG0000326	MHJ_RS00770	B5M19_RS01750
OG0000327	MHJ_RS00775	B5M19_RS01745
OG0000328	MHJ_RS00860	B5M19_RS01660
OG0000329	MHJ_RS00880	B5M19_RS01640
OG0000330	MHJ_RS01075	B5M19_RS02210
OG0000331	MHJ_RS02955	B5M19_RS01285
OG0000332	MHJ_RS03085	B5M19_RS01520
OG0000333	MHJ_RS03095	B5M19_RS01530
OG0000334	MHJ_RS03205	B5M19_RS03040
OG0000335	MHJ_RS03215	B5M19_RS03030
OG0000336	MHJ_RS03375	B5M19_RS00505
OG0000337	MHJ_RS03535	B5M19_RS01985
OG0000338	MHJ_RS03575	B5M19_RS01940
OG0000339	MHJ_RS02280	B5M19_RS03615
OG0000340	MHJ_RS01285	B5M19_RS02565
OG0000341	MHJ_RS02240	B5M19_RS03220
OG0000342	MHJ_RS00710	B5M19_RS01815
OG0000343	MHJ_RS03105	B5M19_RS04195
OG0000344	MHJ_RS00560	B5M19_RS02425
OG0000345	MHJ_RS00995	B5M19_RS03135
OG0000346	MHJ_RS03380	B5M19_RS04590
OG0000347	MHJ_RS01375	B5M19_RS01170
OG0000348	MHJ_RS00780	B5M19_RS01740
OG0000349	MHJ_RS03435	B5M19_RS00440
OG0000350	MHJ_RS02720	B5M19_RS02515
OG0000351	MHJ_RS00475	B5M19_RS03490
OG0000352	MHJ_RS01885	B5M19_RS00755
OG0000353	MHJ_RS01345	B5M19_RS01200
OG0000354	MHJ_RS00620	B5M19_RS03080
OG0000355	MHJ_RS01855	B5M19_RS00725
OG0000356	MHJ_RS01945	B5M19_RS00815
OG0000357	MHJ_RS03065	B5M19_RS01500
OG0000358	MHJ_RS03070	B5M19_RS01505
OG0000359	MHJ_RS00750	B5M19_RS01770
OG0000360	MHJ_RS00255	B5M19_RS00195
OG0000361	MHJ_RS00285	B5M19_RS00225
OG0000362	MHJ_RS02500	B5M19_RS01025
OG0000363	MHJ_RS03840	B5M19_RS01125
OG0000364	MHJ_RS03765, MHJ_RS01830	B5M19_RS00700
OG0000365	MHJ_RS01985	B5M19_RS02775
OG0000366	MHJ_RS02010	B5M19_RS02750
OG0000367	MHJ_RS02020	B5M19_RS02740
OG0000368	MHJ_RS00060	B5M19_RS04270
