Orthogroup	MHP_UFV02_genes	MFC_MF11_genes
OG0000405	FEF31_RS04800	DR093_RS02310
OG0000406	FEF31_RS03805	DR093_RS02340
OG0000407	FEF31_RS04695	DR093_RS03975
OG0000408	FEF31_RS03815	DR093_RS02350
OG0000409	FEF31_RS03820	DR093_RS02355
OG0000410	FEF31_RS02985	DR093_RS02860
OG0000411	FEF31_RS02975	DR093_RS02870
OG0000412	FEF31_RS02970	DR093_RS02875
OG0000413	FEF31_RS01180	DR093_RS04170
OG0000414	FEF31_RS01190	DR093_RS02610
OG0000415	FEF31_RS01195	DR093_RS02605
OG0000416	FEF31_RS01205	DR093_RS02595
OG0000417	FEF31_RS02025	DR093_RS02565
OG0000418	FEF31_RS02020	DR093_RS02560
OG0000419	FEF31_RS00365	DR093_RS02500
OG0000420	FEF31_RS00400	DR093_RS02465
OG0000421	FEF31_RS00435	DR093_RS02430
OG0000422	FEF31_RS00445	DR093_RS02420
OG0000423	FEF31_RS00500	DR093_RS01460
OG0000424	FEF31_RS00505	DR093_RS01465
OG0000425	FEF31_RS00515	DR093_RS01475
OG0000426	FEF31_RS04385	DR093_RS03905
OG0000427	FEF31_RS04390	DR093_RS03910
OG0000428	FEF31_RS00570	DR093_RS01530
OG0000429	FEF31_RS00665	DR093_RS01625
OG0000430	FEF31_RS00710	DR093_RS01670
OG0000431	FEF31_RS00720	DR093_RS01680
OG0000432	FEF31_RS00755	DR093_RS01700
OG0000433	FEF31_RS00770	DR093_RS01710
OG0000434	FEF31_RS00775	DR093_RS01715
OG0000435	FEF31_RS00790	DR093_RS01730
OG0000436	FEF31_RS00815	DR093_RS01765
OG0000437	FEF31_RS00825	DR093_RS01775
OG0000438	FEF31_RS00830	DR093_RS03925
OG0000439	FEF31_RS04400	DR093_RS01785
OG0000440	FEF31_RS02690	DR093_RS01800
OG0000441	FEF31_RS02725	DR093_RS01840
OG0000442	FEF31_RS03415	DR093_RS00150
OG0000443	FEF31_RS03460	DR093_RS00210
OG0000444	FEF31_RS03475	DR093_RS00225
OG0000445	FEF31_RS03500	DR093_RS00250
OG0000446	FEF31_RS03525	DR093_RS00275
OG0000447	FEF31_RS03530	DR093_RS00280
OG0000448	FEF31_RS03560	DR093_RS00310
OG0000449	FEF31_RS03585	DR093_RS00335
OG0000450	FEF31_RS03595	DR093_RS00345
OG0000451	FEF31_RS00030	DR093_RS00385
OG0000452	FEF31_RS00055	DR093_RS00410
OG0000453	FEF31_RS00090	DR093_RS00445
OG0000455	FEF31_RS03185	DR093_RS03850
OG0000456	FEF31_RS03065	DR093_RS01375
OG0000457	FEF31_RS03040	DR093_RS01400
OG0000458	FEF31_RS02255	DR093_RS01085
OG0000459	FEF31_RS02280	DR093_RS01060
OG0000460	FEF31_RS02290	DR093_RS01050
OG0000461	FEF31_RS02335	DR093_RS01005
OG0000462	FEF31_RS02330	DR093_RS01010
OG0000463	FEF31_RS02325	DR093_RS01015
OG0000464	FEF31_RS02320	DR093_RS01020
OG0000465	FEF31_RS02315	DR093_RS01025
OG0000466	FEF31_RS00060	DR093_RS00415
OG0000467	FEF31_RS04530	DR093_RS03825
OG0000468	FEF31_RS01710	DR093_RS02985
OG0000469	FEF31_RS01770	DR093_RS02960
OG0000470	FEF31_RS00495	DR093_RS01455
OG0000471	FEF31_RS00575	DR093_RS01535
OG0000472	FEF31_RS02995	DR093_RS01435
OG0000473	FEF31_RS03170	DR093_RS01270
OG0000474	FEF31_RS03175	DR093_RS01265
OG0000475	FEF31_RS03180	DR093_RS01260
OG0000476	FEF31_RS01215	DR093_RS01220
OG0000477	FEF31_RS02360	DR093_RS00980
OG0000478	FEF31_RS03115	DR093_RS01325
OG0000479	FEF31_RS00985	DR093_RS01995
OG0000480	FEF31_RS01775	DR093_RS03255
OG0000481	FEF31_RS00470	DR093_RS02395
OG0000482	FEF31_RS00865	DR093_RS02535
OG0000483	FEF31_RS01820	DR093_RS02765
OG0000484	FEF31_RS04675	DR093_RS03785
OG0000485	FEF31_RS00820	DR093_RS01770
OG0000486	FEF31_RS02045	DR093_RS02585
OG0000487	FEF31_RS04485	DR093_RS04045
OG0000488	FEF31_RS01790	DR093_RS02795
OG0000489	FEF31_RS03335	DR093_RS00110
OG0000490	FEF31_RS03275	DR093_RS00050
OG0000491	FEF31_RS01005	DR093_RS02015
OG0000492	FEF31_RS01085	DR093_RS02090
OG0000493	FEF31_RS00240	DR093_RS00585
OG0000494	FEF31_RS00300	DR093_RS00635
OG0000495	FEF31_RS02575	DR093_RS00775
OG0000496	FEF31_RS02565	DR093_RS00785
OG0000497	FEF31_RS02560	DR093_RS00790
OG0000498	FEF31_RS02480	DR093_RS00870
OG0000499	FEF31_RS02445	DR093_RS00915
OG0000500	FEF31_RS01675	DR093_RS02645
OG0000502	FEF31_RS00855	DR093_RS02525
OG0000503	FEF31_RS00415	DR093_RS02450
OG0000504	FEF31_RS00550	DR093_RS01510
OG0000505	FEF31_RS00585	DR093_RS01545
OG0000506	FEF31_RS00595	DR093_RS01555
OG0000507	FEF31_RS00630	DR093_RS01590
OG0000508	FEF31_RS03520	DR093_RS00270
OG0000509	FEF31_RS03555	DR093_RS00305
OG0000510	FEF31_RS03565	DR093_RS00315
OG0000511	FEF31_RS00095	DR093_RS00450
OG0000512	FEF31_RS02295	DR093_RS01045
OG0000513	FEF31_RS03100	DR093_RS01340
OG0000514	FEF31_RS02600	DR093_RS00750
OG0000516	FEF31_RS04490	DR093_RS02940
