Orthogroup	MHP_UFV02_genes	MFC_ATCC27716_genes
OG0000285	FEF31_RS04610	MFC_RS02835
OG0000286	FEF31_RS02155	MFC_RS02865
OG0000287	FEF31_RS02260	MFC_RS02890
OG0000288	FEF31_RS02270	MFC_RS02900
OG0000289	FEF31_RS02275	MFC_RS02905
OG0000290	FEF31_RS02385	MFC_RS03030
OG0000291	FEF31_RS02375	MFC_RS03040
OG0000292	FEF31_RS02370	MFC_RS03045
OG0000293	FEF31_RS02365	MFC_RS03050
OG0000294	FEF31_RS02355	MFC_RS03060
OG0000295	FEF31_RS02350	MFC_RS03065
OG0000296	FEF31_RS02310	MFC_RS03110
OG0000297	FEF31_RS02305	MFC_RS03115
OG0000298	FEF31_RS03445	MFC_RS02395
OG0000299	FEF31_RS03465	MFC_RS02415
OG0000300	FEF31_RS00035	MFC_RS02595
OG0000301	FEF31_RS00070	MFC_RS02630
OG0000302	FEF31_RS00075	MFC_RS02635
OG0000303	FEF31_RS00220	MFC_RS00835
OG0000304	FEF31_RS00730	MFC_RS00865
OG0000305	FEF31_RS02620	MFC_RS01010
OG0000306	FEF31_RS02545	MFC_RS01090
OG0000307	FEF31_RS02510	MFC_RS01130
OG0000308	FEF31_RS02405	MFC_RS03020
OG0000309	FEF31_RS02340	MFC_RS03075
OG0000310	FEF31_RS02265	MFC_RS02895
OG0000311	FEF31_RS02215	MFC_RS01220
OG0000312	FEF31_RS02200	MFC_RS01240
OG0000313	FEF31_RS01260	MFC_RS01290
OG0000314	FEF31_RS01700	MFC_RS01360
OG0000315	FEF31_RS01730	MFC_RS01390
OG0000316	FEF31_RS01740	MFC_RS01400
OG0000317	FEF31_RS01835	MFC_RS00110
OG0000318	FEF31_RS04480	MFC_RS00020
OG0000319	FEF31_RS01970	MFC_RS00420
OG0000320	FEF31_RS02095	MFC_RS00485
OG0000321	FEF31_RS00990	MFC_RS00550
OG0000322	FEF31_RS01040	MFC_RS00595
OG0000323	FEF31_RS01170	MFC_RS00725
OG0000324	FEF31_RS02010	MFC_RS01775
OG0000325	FEF31_RS00355	MFC_RS01815
OG0000326	FEF31_RS00450	MFC_RS01905
OG0000327	FEF31_RS00455	MFC_RS01910
OG0000328	FEF31_RS00540	MFC_RS01995
OG0000329	FEF31_RS00560	MFC_RS02020
OG0000330	FEF31_RS00760	MFC_RS02200
OG0000331	FEF31_RS02710	MFC_RS02315
OG0000332	FEF31_RS03680	MFC_RS01505
OG0000333	FEF31_RS03690	MFC_RS01515
OG0000334	FEF31_RS03790	MFC_RS01585
OG0000335	FEF31_RS03800	MFC_RS01595
OG0000336	FEF31_RS04620	MFC_RS02805
OG0000337	FEF31_RS03240	MFC_RS00280
OG0000338	FEF31_RS03280	MFC_RS00240
OG0000339	FEF31_RS02070	MFC_RS00505
OG0000340	FEF31_RS00970	MFC_RS00530
OG0000341	FEF31_RS02030	MFC_RS01755
OG0000342	FEF31_RS00385	MFC_RS01845
OG0000343	FEF31_RS03700	MFC_RS01525
OG0000344	FEF31_RS00235	MFC_RS00850
OG0000345	FEF31_RS00675	MFC_RS02130
OG0000346	FEF31_RS03080	MFC_RS02800
OG0000347	FEF31_RS01065	MFC_RS00620
OG0000348	FEF31_RS00460	MFC_RS01915
OG0000349	FEF31_RS04630	MFC_RS02745
OG0000350	FEF31_RS02500	MFC_RS03345
OG0000351	FEF31_RS00155	MFC_RS00785
OG0000352	FEF31_RS01680	MFC_RS01340
OG0000353	FEF31_RS01035	MFC_RS00590
OG0000354	FEF31_RS00295	MFC_RS00900
OG0000355	FEF31_RS04470	MFC_RS01315
OG0000356	FEF31_RS04475	MFC_RS01395
OG0000357	FEF31_RS04685	MFC_RS01485
OG0000358	FEF31_RS03665	MFC_RS01490
OG0000359	FEF31_RS04380	MFC_RS01885
OG0000360	FEF31_RS03545	MFC_RS02500
OG0000361	FEF31_RS03575	MFC_RS02530
OG0000362	FEF31_RS02285	MFC_RS02915
OG0000363	FEF31_RS01105	MFC_RS00660
OG0000365	FEF31_RS01785	MFC_RS00050
OG0000366	FEF31_RS01805	MFC_RS00080
OG0000367	FEF31_RS01815	MFC_RS00090
OG0000368	FEF31_RS03345	MFC_RS00175
OG0000369	FEF31_RS04650	MFC_RS00210
OG0000370	FEF31_RS03305	MFC_RS00215
OG0000371	FEF31_RS03300	MFC_RS00220
OG0000372	FEF31_RS03295	MFC_RS00225
OG0000373	FEF31_RS03270	MFC_RS00250
OG0000374	FEF31_RS03260	MFC_RS00260
OG0000375	FEF31_RS01965	MFC_RS00415
OG0000376	FEF31_RS02110	MFC_RS00470
OG0000377	FEF31_RS02100	MFC_RS00480
OG0000378	FEF31_RS00950	MFC_RS00515
OG0000379	FEF31_RS01030	MFC_RS00585
OG0000380	FEF31_RS01055	MFC_RS00610
OG0000381	FEF31_RS01095	MFC_RS00650
OG0000382	FEF31_RS01125	MFC_RS00680
