Orthogroup	MHP_UFV02_genes	MHP_J_genes
OG0000450	FEF31_RS03595	MHJ_RS00305
OG0000451	FEF31_RS00030	MHJ_RS00345
OG0000452	FEF31_RS00055	MHJ_RS00370
OG0000453	FEF31_RS00090	MHJ_RS00405
OG0000455	FEF31_RS03185	MHJ_RS03480
OG0000456	FEF31_RS03065	MHJ_RS03365
OG0000457	FEF31_RS03040	MHJ_RS03340
OG0000458	FEF31_RS02255	MHJ_RS02470
OG0000460	FEF31_RS02290	MHJ_RS02505
OG0000461	FEF31_RS02335	MHJ_RS02550
OG0000462	FEF31_RS02330	MHJ_RS02545
OG0000463	FEF31_RS02325	MHJ_RS02540
OG0000464	FEF31_RS02320	MHJ_RS02535
OG0000465	FEF31_RS02315	MHJ_RS02530
OG0000466	FEF31_RS00060	MHJ_RS00375
OG0000467	FEF31_RS04530	MHJ_RS02640
OG0000468	FEF31_RS01710	MHJ_RS01920
OG0000469	FEF31_RS01770	MHJ_RS01980
OG0000470	FEF31_RS00495	MHJ_RS03785
OG0000471	FEF31_RS00575	MHJ_RS00895
OG0000472	FEF31_RS02995	MHJ_RS03300
OG0000473	FEF31_RS03170	MHJ_RS03465
OG0000474	FEF31_RS03175	MHJ_RS03470
OG0000475	FEF31_RS03180	MHJ_RS03475
OG0000476	FEF31_RS01215	MHJ_RS01525
OG0000477	FEF31_RS02360	MHJ_RS02580
OG0000478	FEF31_RS03115	MHJ_RS03410
OG0000479	FEF31_RS00985	MHJ_RS01300
OG0000480	FEF31_RS01775	MHJ_RS03770
OG0000481	FEF31_RS00470	MHJ_RS00790
OG0000482	FEF31_RS00865	MHJ_RS01185
OG0000483	FEF31_RS01820	MHJ_RS02025
OG0000484	FEF31_RS04675	MHJ_RS00175
OG0000485	FEF31_RS00820	MHJ_RS01140
OG0000486	FEF31_RS02045	MHJ_RS02255
OG0000487	FEF31_RS04485	MHJ_RS01960
OG0000488	FEF31_RS01790	MHJ_RS01995
OG0000489	FEF31_RS03335	MHJ_RS00050
OG0000490	FEF31_RS03275	MHJ_RS03570
OG0000491	FEF31_RS01005	MHJ_RS01320
OG0000492	FEF31_RS01085	MHJ_RS01395
OG0000493	FEF31_RS00240	MHJ_RS00565
OG0000494	FEF31_RS00300	MHJ_RS00625
OG0000495	FEF31_RS02575	MHJ_RS02805
OG0000496	FEF31_RS02565	MHJ_RS02795
OG0000497	FEF31_RS02560	MHJ_RS02790
OG0000498	FEF31_RS02480	MHJ_RS02700
