Orthogroup	MHP_MHP709_genes	MHP_MHP691_genes
OG0000409	DR088_RS01975	DR087_RS00795
OG0000410	DR088_RS02030	DR087_RS02135
OG0000411	DR088_RS02020	DR087_RS02145
OG0000412	DR088_RS02015	DR087_RS02150
OG0000413	DR088_RS02555	DR087_RS00355
OG0000414	DR088_RS02565	DR087_RS03435
OG0000415	DR088_RS02570	DR087_RS03430
OG0000416	DR088_RS02580	DR087_RS03420
OG0000417	DR088_RS02925	DR087_RS00250
OG0000418	DR088_RS02920	DR087_RS00245
OG0000419	DR088_RS02820	DR087_RS02205
OG0000420	DR088_RS02785	DR087_RS02240
OG0000421	DR088_RS02750	DR087_RS02275
OG0000422	DR088_RS02740	DR087_RS02285
OG0000423	DR088_RS01780	DR087_RS02600
OG0000424	DR088_RS01775	DR087_RS02595
OG0000425	DR088_RS01765	DR087_RS02585
OG0000426	DR088_RS04405	DR087_RS04695
OG0000427	DR088_RS04400	DR087_RS04690
OG0000428	DR088_RS01710	DR087_RS02530
OG0000429	DR088_RS01615	DR087_RS02705
OG0000430	DR088_RS01570	DR087_RS02750
OG0000431	DR088_RS01560	DR087_RS02760
OG0000432	DR088_RS00795	DR087_RS02000
OG0000433	DR088_RS00810	DR087_RS01985
OG0000434	DR088_RS00815	DR087_RS01980
OG0000435	DR088_RS00830	DR087_RS01965
OG0000436	DR088_RS00860	DR087_RS01935
OG0000437	DR088_RS00870	DR087_RS01925
OG0000438	DR088_RS00875	DR087_RS01920
OG0000439	DR088_RS04360	DR087_RS04620
OG0000440	DR088_RS04575	DR087_RS03345
OG0000441	DR088_RS03240	DR087_RS03395
OG0000442	DR088_RS03560	DR087_RS04770
OG0000443	DR088_RS01330	DR087_RS02370
OG0000444	DR088_RS01315	DR087_RS02355
OG0000445	DR088_RS01290	DR087_RS02330
OG0000446	DR088_RS01260	DR087_RS01775
OG0000447	DR088_RS01255	DR087_RS01780
OG0000448	DR088_RS01225	DR087_RS01810
OG0000449	DR088_RS01200	DR087_RS01835
OG0000450	DR088_RS01190	DR087_RS01845
