Orthogroup	MHP_F72C_genes	MHP_TB1_genes
OG0000375	EHI52_RS02235	B5M19_RS02950
OG0000376	EHI52_RS02385	B5M19_RS02670
OG0000377	EHI52_RS02375	B5M19_RS02680
OG0000378	EHI52_RS01355	B5M19_RS02585
OG0000379	EHI52_RS01430	B5M19_RS01205
OG0000380	EHI52_RS01455	B5M19_RS01180
OG0000381	EHI52_RS01495	B5M19_RS01140
OG0000382	EHI52_RS01525	B5M19_RS01105
OG0000383	EHI52_RS01565	B5M19_RS01070
OG0000384	EHI52_RS00530	B5M19_RS02365
OG0000385	EHI52_RS00535	B5M19_RS02370
OG0000386	EHI52_RS00555	B5M19_RS02390
OG0000387	EHI52_RS00580	B5M19_RS02415
OG0000388	EHI52_RS00585	B5M19_RS02420
OG0000389	EHI52_RS00630	B5M19_RS03095
OG0000390	EHI52_RS02890	B5M19_RS01365
OG0000391	EHI52_RS02880	B5M19_RS01375
OG0000392	EHI52_RS02855	B5M19_RS01400
OG0000393	EHI52_RS02800	B5M19_RS03515
OG0000394	EHI52_RS02725	B5M19_RS02490
OG0000395	EHI52_RS02720	B5M19_RS02485
OG0000396	EHI52_RS02430	B5M19_RS02845
OG0000397	EHI52_RS02015	B5M19_RS00740
OG0000398	EHI52_RS02010	B5M19_RS00745
OG0000399	EHI52_RS01965	B5M19_RS00795
OG0000400	EHI52_RS03070	B5M19_RS01460
OG0000401	EHI52_RS03135	B5M19_RS01525
OG0000402	EHI52_RS03145	B5M19_RS01535
OG0000404	EHI52_RS03185	B5M19_RS04205
OG0000405	EHI52_RS03200	B5M19_RS01590
OG0000406	EHI52_RS03255	B5M19_RS03025
OG0000407	EHI52_RS03260	B5M19_RS03020
OG0000408	EHI52_RS03265	B5M19_RS03015
OG0000409	EHI52_RS03270	B5M19_RS03010
OG0000410	EHI52_RS03330	B5M19_RS03100
OG0000411	EHI52_RS03320	B5M19_RS03110
OG0000412	EHI52_RS03315	B5M19_RS03115
OG0000413	EHI52_RS01580	B5M19_RS03555
OG0000414	EHI52_RS01590	B5M19_RS03545
OG0000415	EHI52_RS01595	B5M19_RS03540
OG0000416	EHI52_RS01605	B5M19_RS03530
OG0000417	EHI52_RS02295	B5M19_RS03225
OG0000418	EHI52_RS02290	B5M19_RS03230
OG0000419	EHI52_RS00710	B5M19_RS01835
OG0000420	EHI52_RS00745	B5M19_RS01800
OG0000421	EHI52_RS00780	B5M19_RS01765
OG0000422	EHI52_RS00790	B5M19_RS01755
OG0000423	EHI52_RS00845	B5M19_RS01700
OG0000424	EHI52_RS00850	B5M19_RS01695
OG0000425	EHI52_RS00860	B5M19_RS01685
OG0000426	EHI52_RS00865	B5M19_RS01680
OG0000427	EHI52_RS00890	B5M19_RS01655
OG0000428	EHI52_RS00915	B5M19_RS01630
OG0000430	EHI52_RS01125	B5M19_RS03170
OG0000431	EHI52_RS01135	B5M19_RS03180
OG0000432	EHI52_RS01170	B5M19_RS04345
OG0000433	EHI52_RS01185	B5M19_RS02200
OG0000434	EHI52_RS01190	B5M19_RS02195
OG0000435	EHI52_RS01205	B5M19_RS02180
OG0000436	EHI52_RS01235	B5M19_RS02150
OG0000437	EHI52_RS01245	B5M19_RS02140
OG0000438	EHI52_RS01250	B5M19_RS02135
OG0000439	EHI52_RS01255	B5M19_RS02130
OG0000440	EHI52_RS02945	B5M19_RS04165
OG0000441	EHI52_RS02985	B5M19_RS01265
OG0000442	EHI52_RS00145	B5M19_RS00055
OG0000443	EHI52_RS00195	B5M19_RS00105
OG0000444	EHI52_RS00210	B5M19_RS00120
OG0000445	EHI52_RS00235	B5M19_RS00145
OG0000446	EHI52_RS00265	B5M19_RS00175
OG0000447	EHI52_RS00270	B5M19_RS00180
OG0000448	EHI52_RS00300	B5M19_RS00210
OG0000449	EHI52_RS00325	B5M19_RS00235
OG0000450	EHI52_RS00335	B5M19_RS00245
OG0000451	EHI52_RS00380	B5M19_RS00295
OG0000452	EHI52_RS00405	B5M19_RS00330
OG0000453	EHI52_RS00440	B5M19_RS04040
OG0000455	EHI52_RS03510	B5M19_RS00395
OG0000456	EHI52_RS03390	B5M19_RS00515
OG0000457	EHI52_RS03365	B5M19_RS00540
OG0000458	EHI52_RS02510	B5M19_RS01055
OG0000459	EHI52_RS02535	B5M19_RS01030
OG0000460	EHI52_RS02545	B5M19_RS01020
OG0000461	EHI52_RS02590	B5M19_RS04125
OG0000462	EHI52_RS02585	B5M19_RS00980
OG0000463	EHI52_RS02580	B5M19_RS04130
OG0000464	EHI52_RS02575	B5M19_RS00990
OG0000465	EHI52_RS02570	B5M19_RS00995
OG0000467	EHI52_RS02670	B5M19_RS00895
OG0000468	EHI52_RS01970	B5M19_RS00790
OG0000469	EHI52_RS01910	B5M19_RS00850
OG0000470	EHI52_RS03650	B5M19_RS03910
OG0000471	EHI52_RS00920	B5M19_RS01625
OG0000472	EHI52_RS03340	B5M19_RS00580
OG0000473	EHI52_RS03495	B5M19_RS00410
OG0000474	EHI52_RS03500	B5M19_RS00405
OG0000475	EHI52_RS03505	B5M19_RS00400
OG0000476	EHI52_RS01615	B5M19_RS03280
OG0000477	EHI52_RS02615	B5M19_RS00950
OG0000478	EHI52_RS03440	B5M19_RS00465
OG0000479	EHI52_RS01390	B5M19_RS04145
OG0000480	EHI52_RS03665	B5M19_RS03895
OG0000481	EHI52_RS00815	B5M19_RS01730
OG0000482	EHI52_RS01275	B5M19_RS03730
OG0000483	EHI52_RS01865	B5M19_RS02735
OG0000484	EHI52_RS00205	B5M19_RS00115
OG0000485	EHI52_RS01240	B5M19_RS02145
OG0000486	EHI52_RS02315	B5M19_RS03205
OG0000487	EHI52_RS01930	B5M19_RS00830
OG0000488	EHI52_RS01895	B5M19_RS02770
OG0000489	EHI52_RS00050	B5M19_RS01885
OG0000490	EHI52_RS03610	B5M19_RS01945
OG0000491	EHI52_RS01410	B5M19_RS01225
OG0000492	EHI52_RS01485	B5M19_RS04140
OG0000493	EHI52_RS00595	B5M19_RS02430
OG0000494	EHI52_RS00655	B5M19_RS03075
OG0000495	EHI52_RS02825	B5M19_RS01430
OG0000497	EHI52_RS02810	B5M19_RS01445
OG0000498	EHI52_RS02730	B5M19_RS02495
OG0000499	EHI52_RS02695	B5M19_RS00870
OG0000500	EHI52_RS02005	B5M19_RS00750
OG0000501	EHI52_RS03080	B5M19_RS01470
OG0000502	EHI52_RS01265	B5M19_RS02350
OG0000503	EHI52_RS00760	B5M19_RS04250
OG0000504	EHI52_RS00895	B5M19_RS01650
OG0000505	EHI52_RS01000	B5M19_RS03420
OG0000506	EHI52_RS01010	B5M19_RS03410
OG0000507	EHI52_RS01045	B5M19_RS03375
OG0000508	EHI52_RS00260	B5M19_RS00170
OG0000509	EHI52_RS00295	B5M19_RS00205
OG0000510	EHI52_RS00305	B5M19_RS00215
OG0000511	EHI52_RS00445	B5M19_RS03685
OG0000512	EHI52_RS02550	B5M19_RS01015
OG0000513	EHI52_RS03425	B5M19_RS00480
OG0000514	EHI52_RS02850	B5M19_RS01405
OG0000515	EHI52_RS02090	B5M19_RS04075
OG0000515	EHI52_RS02090	B5M19_RS03270
OG0000516	EHI52_RS01925	B5M19_RS00835
OG0000517	EHI52_RS00065	B5M19_RS01870
OG0000518	EHI52_RS03125	B5M19_RS01515
OG0000519	EHI52_RS00785	B5M19_RS01760
OG0000520	EHI52_RS00910	B5M19_RS01635
OG0000521	EHI52_RS00275	B5M19_RS00185
OG0000522	EHI52_RS00310	B5M19_RS00220
