Orthogroup	MHP_111A_genes	MHP_TB1_genes
OG0000394	NB623_RS02895	B5M19_RS02490
OG0000395	NB623_RS02890	B5M19_RS02485
OG0000396	NB623_RS02580	B5M19_RS02845
OG0000397	NB623_RS02175	B5M19_RS00740
OG0000398	NB623_RS02170	B5M19_RS00745
OG0000399	NB623_RS02125	B5M19_RS00795
OG0000400	NB623_RS03210	B5M19_RS01460
OG0000401	NB623_RS03275	B5M19_RS01525
OG0000402	NB623_RS03285	B5M19_RS01535
OG0000404	NB623_RS03325	B5M19_RS04205
OG0000405	NB623_RS03340	B5M19_RS01590
OG0000406	NB623_RS03395	B5M19_RS03025
OG0000407	NB623_RS03400	B5M19_RS03020
OG0000408	NB623_RS03405	B5M19_RS03015
OG0000409	NB623_RS03410	B5M19_RS03010
OG0000410	NB623_RS03495	B5M19_RS03100
OG0000411	NB623_RS03480	B5M19_RS03110
OG0000413	NB623_RS01640	B5M19_RS03555
OG0000414	NB623_RS01650	B5M19_RS03545
OG0000415	NB623_RS01655	B5M19_RS03540
OG0000416	NB623_RS01665	B5M19_RS03530
OG0000417	NB623_RS02430	B5M19_RS03225
OG0000418	NB623_RS02420	B5M19_RS03230
OG0000419	NB623_RS00715	B5M19_RS01835
OG0000420	NB623_RS00750	B5M19_RS01800
OG0000421	NB623_RS00790	B5M19_RS01765
OG0000422	NB623_RS00800	B5M19_RS01755
OG0000423	NB623_RS00855	B5M19_RS01700
OG0000424	NB623_RS00860	B5M19_RS01695
OG0000425	NB623_RS00870	B5M19_RS01685
OG0000426	NB623_RS00875	B5M19_RS01680
OG0000427	NB623_RS00900	B5M19_RS01655
OG0000428	NB623_RS00925	B5M19_RS01630
OG0000430	NB623_RS01190	B5M19_RS03170
OG0000431	NB623_RS01200	B5M19_RS03180
OG0000432	NB623_RS01230	B5M19_RS04345
OG0000433	NB623_RS01245	B5M19_RS02200
OG0000434	NB623_RS01255	B5M19_RS02195
OG0000435	NB623_RS01265	B5M19_RS02180
OG0000436	NB623_RS01290	B5M19_RS02150
OG0000437	NB623_RS01300	B5M19_RS02140
OG0000438	NB623_RS01305	B5M19_RS02135
OG0000439	NB623_RS01310	B5M19_RS02130
OG0000440	NB623_RS03115	B5M19_RS04165
OG0000441	NB623_RS03150	B5M19_RS01265
OG0000442	NB623_RS00135	B5M19_RS00055
OG0000443	NB623_RS00180	B5M19_RS00105
OG0000444	NB623_RS00195	B5M19_RS00120
OG0000445	NB623_RS00220	B5M19_RS00145
OG0000446	NB623_RS00245	B5M19_RS00175
OG0000447	NB623_RS00255	B5M19_RS00180
OG0000448	NB623_RS00280	B5M19_RS00210
OG0000449	NB623_RS00305	B5M19_RS00235
OG0000450	NB623_RS00315	B5M19_RS00245
OG0000451	NB623_RS00355	B5M19_RS00295
OG0000452	NB623_RS00380	B5M19_RS00330
OG0000453	NB623_RS00415	B5M19_RS04040
OG0000454	NB623_RS01755	B5M19_RS04505
OG0000455	NB623_RS03705	B5M19_RS00395
OG0000456	NB623_RS03580	B5M19_RS00515
OG0000457	NB623_RS03545	B5M19_RS00540
OG0000458	NB623_RS02670	B5M19_RS01055
OG0000459	NB623_RS02700	B5M19_RS01030
OG0000460	NB623_RS02710	B5M19_RS01020
OG0000461	NB623_RS02755	B5M19_RS04125
