Orthogroup	MHP_F72C_genes	MHP_UFV01_genes
OG0000435	EHI52_RS01205	FEF30_RS01445
OG0000436	EHI52_RS01235	FEF30_RS01470
OG0000437	EHI52_RS01245	FEF30_RS01480
OG0000438	EHI52_RS01250	FEF30_RS01485
OG0000439	EHI52_RS01255	FEF30_RS04235
OG0000440	EHI52_RS02945	FEF30_RS03330
OG0000441	EHI52_RS02985	FEF30_RS03370
OG0000442	EHI52_RS00145	FEF30_RS00460
OG0000443	EHI52_RS00195	FEF30_RS00505
OG0000444	EHI52_RS00210	FEF30_RS00520
OG0000445	EHI52_RS00235	FEF30_RS00545
OG0000446	EHI52_RS00265	FEF30_RS00570
OG0000447	EHI52_RS00270	FEF30_RS00575
OG0000448	EHI52_RS00300	FEF30_RS00605
OG0000449	EHI52_RS00325	FEF30_RS00630
OG0000450	EHI52_RS00335	FEF30_RS00640
OG0000451	EHI52_RS00380	FEF30_RS00680
OG0000452	EHI52_RS00405	FEF30_RS00705
OG0000453	EHI52_RS00440	FEF30_RS00740
OG0000455	EHI52_RS03510	FEF30_RS00230
OG0000456	EHI52_RS03390	FEF30_RS00110
OG0000457	EHI52_RS03365	FEF30_RS00085
OG0000458	EHI52_RS02510	FEF30_RS02890
OG0000459	EHI52_RS02535	FEF30_RS02915
OG0000460	EHI52_RS02545	FEF30_RS02925
OG0000461	EHI52_RS02590	FEF30_RS02970
OG0000462	EHI52_RS02585	FEF30_RS02965
OG0000463	EHI52_RS02580	FEF30_RS02960
OG0000464	EHI52_RS02575	FEF30_RS02955
OG0000465	EHI52_RS02570	FEF30_RS02950
OG0000466	EHI52_RS00410	FEF30_RS00710
OG0000467	EHI52_RS02670	FEF30_RS04360
OG0000468	EHI52_RS01970	FEF30_RS02345
OG0000469	EHI52_RS01910	FEF30_RS02405
OG0000470	EHI52_RS03650	FEF30_RS01150
OG0000471	EHI52_RS00920	FEF30_RS01230
OG0000472	EHI52_RS03340	FEF30_RS00040
OG0000473	EHI52_RS03495	FEF30_RS00215
OG0000474	EHI52_RS03500	FEF30_RS00220
OG0000475	EHI52_RS03505	FEF30_RS00225
OG0000476	EHI52_RS01615	FEF30_RS01870
OG0000477	EHI52_RS02615	FEF30_RS02995
OG0000478	EHI52_RS03440	FEF30_RS00160
OG0000479	EHI52_RS01390	FEF30_RS01640
OG0000480	EHI52_RS03665	FEF30_RS02410
OG0000481	EHI52_RS00815	FEF30_RS01125
OG0000482	EHI52_RS01275	FEF30_RS01520
OG0000483	EHI52_RS01865	FEF30_RS02455
OG0000484	EHI52_RS00205	FEF30_RS04190
OG0000485	EHI52_RS01240	FEF30_RS01475
OG0000486	EHI52_RS02315	FEF30_RS02680
OG0000487	EHI52_RS01930	FEF30_RS04325
OG0000488	EHI52_RS01895	FEF30_RS02425
OG0000489	EHI52_RS00050	FEF30_RS00380
OG0000490	EHI52_RS03610	FEF30_RS00320
OG0000491	EHI52_RS01410	FEF30_RS01660
OG0000492	EHI52_RS01485	FEF30_RS01740
OG0000493	EHI52_RS00595	FEF30_RS00890
OG0000494	EHI52_RS00655	FEF30_RS00955
OG0000495	EHI52_RS02825	FEF30_RS03215
OG0000496	EHI52_RS02815	FEF30_RS03205
OG0000497	EHI52_RS02810	FEF30_RS03200
OG0000498	EHI52_RS02730	FEF30_RS03115
OG0000499	EHI52_RS02695	FEF30_RS03080
OG0000500	EHI52_RS02005	FEF30_RS02310
OG0000502	EHI52_RS01265	FEF30_RS01510
OG0000503	EHI52_RS00760	FEF30_RS01070
OG0000504	EHI52_RS00895	FEF30_RS01205
OG0000505	EHI52_RS01000	FEF30_RS01240
OG0000506	EHI52_RS01010	FEF30_RS01250
OG0000507	EHI52_RS01045	FEF30_RS01285
OG0000508	EHI52_RS00260	FEF30_RS00565
OG0000509	EHI52_RS00295	FEF30_RS00600
OG0000510	EHI52_RS00305	FEF30_RS00610
OG0000511	EHI52_RS00445	FEF30_RS00745
