Orthogroup	MHP_F72C_genes	MHP_111A_genes
OG0000379	EHI52_RS01430	NB623_RS01485
OG0000380	EHI52_RS01455	NB623_RS01515
OG0000381	EHI52_RS01495	NB623_RS01555
OG0000382	EHI52_RS01525	NB623_RS01585
OG0000383	EHI52_RS01565	NB623_RS01625
OG0000384	EHI52_RS00530	NB623_RS00510
OG0000385	EHI52_RS00535	NB623_RS00520
OG0000386	EHI52_RS00555	NB623_RS00535
OG0000387	EHI52_RS00580	NB623_RS00560
OG0000388	EHI52_RS00585	NB623_RS00565
OG0000389	EHI52_RS00630	NB623_RS00610
OG0000390	EHI52_RS02890	NB623_RS03065
OG0000391	EHI52_RS02880	NB623_RS03055
OG0000392	EHI52_RS02855	NB623_RS03030
OG0000393	EHI52_RS02800	NB623_RS02975
OG0000394	EHI52_RS02725	NB623_RS02895
OG0000395	EHI52_RS02720	NB623_RS02890
OG0000396	EHI52_RS02430	NB623_RS02580
OG0000397	EHI52_RS02015	NB623_RS02175
OG0000398	EHI52_RS02010	NB623_RS02170
OG0000399	EHI52_RS01965	NB623_RS02125
OG0000400	EHI52_RS03070	NB623_RS03210
OG0000401	EHI52_RS03135	NB623_RS03275
OG0000402	EHI52_RS03145	NB623_RS03285
OG0000403	EHI52_RS03155	NB623_RS03295
OG0000404	EHI52_RS03185	NB623_RS03325
OG0000405	EHI52_RS03200	NB623_RS03340
OG0000406	EHI52_RS03255	NB623_RS03395
OG0000407	EHI52_RS03260	NB623_RS03400
OG0000408	EHI52_RS03265	NB623_RS03405
OG0000409	EHI52_RS03270	NB623_RS03410
OG0000410	EHI52_RS03330	NB623_RS03495
OG0000411	EHI52_RS03320	NB623_RS03480
OG0000413	EHI52_RS01580	NB623_RS01640
OG0000414	EHI52_RS01590	NB623_RS01650
OG0000415	EHI52_RS01595	NB623_RS01655
OG0000416	EHI52_RS01605	NB623_RS01665
OG0000417	EHI52_RS02295	NB623_RS02430
OG0000418	EHI52_RS02290	NB623_RS02420
OG0000419	EHI52_RS00710	NB623_RS00715
OG0000420	EHI52_RS00745	NB623_RS00750
OG0000421	EHI52_RS00780	NB623_RS00790
OG0000422	EHI52_RS00790	NB623_RS00800
OG0000423	EHI52_RS00845	NB623_RS00855
OG0000424	EHI52_RS00850	NB623_RS00860
OG0000425	EHI52_RS00860	NB623_RS00870
OG0000426	EHI52_RS00865	NB623_RS00875
