E5E95_RS03370 WP_011206441.1
E5E95_RS03375 WP_135619079.1
E5E95_RS03380 WP_011206444.1
E5E95_RS03385 WP_011206445.1
E5E95_RS03390 WP_135619081.1
E5E95_RS03395 WP_135619082.1
E5E95_RS03400 WP_135619084.1
E5E95_RS03405 WP_135619086.1
E5E95_RS03410 WP_014579982.1
E5E95_RS03415 WP_135619088.1
E5E95_RS03420 WP_135619090.1
E5E95_RS03425 WP_135619092.1
E5E95_RS03435 WP_135619094.1
E5E95_RS03440 WP_135619225.1
E5E95_RS03445 WP_011206453.1
E5E95_RS03450 WP_135619096.1
E5E95_RS03455 WP_135619227.1
E5E95_RS03460 WP_135619098.1
E5E95_RS03465 WP_011206457.1
E5E95_RS03470 WP_011206458.1
E5E95_RS03480 WP_135619099.1
E5E95_RS03485 WP_135619103.1
E5E95_RS03490 WP_135619105.1
E5E95_RS03495 WP_135619110.1
E5E95_RS03500 WP_135619112.1
E5E95_RS03505 WP_135619114.1
E5E95_RS03510 WP_135619116.1
E5E95_RS03515 WP_135619118.1
E5E95_RS03520 WP_011290400.1
E5E95_RS03525 WP_135619119.1
E5E95_RS03530 WP_011206469.1
E5E95_RS03535 WP_135619122.1
E5E95_RS03540 WP_135619124.1
E5E95_RS03545 WP_135619126.1
E5E95_RS03550 WP_240536353.1
E5E95_RS03555 WP_135619129.1
E5E95_RS03560 WP_135619129.1
E5E95_RS03565 WP_240536354.1
E5E95_RS03570 WP_020835904.1
E5E95_RS03575 WP_135619132.1
E5E95_RS03580 WP_240536355.1
E5E95_RS03585 WP_135619136.1
E5E95_RS03590 WP_011290413.1
E5E95_RS03595 WP_011206484.1
E5E95_RS03600 WP_044272663.1
E5E95_RS03605 WP_240536356.1
E5E95_RS04185 WP_240536357.1
E5E95_RS03610 WP_011206487.1
E5E95_RS03620 WP_135619138.1
E5E95_RS03625 WP_014580011.1
E5E95_RS03630 WP_014580012.1
E5E95_RS03635 WP_135619140.1
E5E95_RS03640 WP_014580014.1
E5E95_RS03645 WP_135619142.1
E5E95_RS03650 WP_135619144.1
E5E95_RS03655 WP_011206494.1
E5E95_RS03660 WP_135619146.1
E5E95_RS03665 WP_011290421.1
E5E95_RS03670 WP_238374142.1
E5E95_RS03675 WP_135619148.1
E5E95_RS03680 WP_228729166.1
