Orthogroup	MFC_MF33_genes	MHP_NCTC10127_genes
OG0000502	DR085_RS02090	EXC50_RS02885
OG0000503	DR085_RS02015	EXC50_RS03325
OG0000504	DR085_RS01055	EXC50_RS03190
OG0000505	DR085_RS01090	EXC50_RS03155
OG0000506	DR085_RS01100	EXC50_RS03145
OG0000507	DR085_RS01135	EXC50_RS03110
OG0000508	DR085_RS00085	EXC50_RS00260
OG0000509	DR085_RS00120	EXC50_RS00295
OG0000510	DR085_RS00130	EXC50_RS00305
OG0000511	DR085_RS00265	EXC50_RS03655
OG0000512	DR085_RS00865	EXC50_RS01400
OG0000513	DR085_RS02560	EXC50_RS02270
OG0000514	DR085_RS00585	EXC50_RS01700
OG0000516	DR085_RS02970	EXC50_RS00955
OG0000517	DR085_RS02330	EXC50_RS00065
OG0000518	DR085_RS01465	EXC50_RS01945
OG0000519	DR085_RS01990	EXC50_RS03300
OG0000520	DR085_RS01070	EXC50_RS03175
OG0000521	DR085_RS00100	EXC50_RS00275
OG0000522	DR085_RS00135	EXC50_RS00310
OG0000523	DR085_RS02625	EXC50_RS02205
OG0000524	DR085_RS00760	EXC50_RS01515
OG0000528	DR085_RS02980	EXC50_RS00960
OG0000529	DR085_RS01905	EXC50_RS01090
OG0000530	DR085_RS01840	EXC50_RS01200
OG0000531	DR085_RS01720	EXC50_RS02690
OG0000532	DR085_RS00490	EXC50_RS00575
OG0000533	DR085_RS01235	EXC50_RS03490
OG0000534	DR085_RS00215	EXC50_RS00395
OG0000535	DR085_RS02310	EXC50_RS00045
OG0000536	DR085_RS02425	EXC50_RS02385
OG0000537	DR085_RS02050	EXC50_RS03360
OG0000538	DR085_RS01265	EXC50_RS02965
OG0000539	DR085_RS00050	EXC50_RS00220
OG0000541	DR085_RS00725	EXC50_RS01560
OG0000542	DR085_RS00185	EXC50_RS00365
OG0000547	DR085_RS00535	EXC50_RS01750
OG0000548	DR085_RS02705	EXC50_RS00535
OG0000549	DR085_RS02650	EXC50_RS02160
OG0000550	DR085_RS02525	EXC50_RS02305
OG0000551	DR085_RS01380	EXC50_RS01825
OG0000555	DR085_RS03230	EXC50_RS04055
OG0000598	DR085_RS02370	EXC50_RS00690
OG0000599	DR085_RS02365	EXC50_RS00695
OG0000602	DR085_RS02820	EXC50_RS00980
OG0000647	DR085_RS00500	EXC50_RS03980
