Orthogroup	MHP_MHP691_genes	MHP_111A_genes
OG0000544	DR087_RS04710	NB623_RS01375
OG0000545	DR087_RS01630	NB623_RS02270
OG0000546	DR087_RS04305	NB623_RS02950
OG0000552	DR087_RS00910	NB623_RS03300
OG0000553	DR087_RS04565	NB623_RS02855
OG0000554	DR087_RS01690	NB623_RS02535
OG0000555	DR087_RS04580	NB623_RS03080
OG0000556	DR087_RS04430	NB623_RS01970
OG0000557	DR087_RS02850	NB623_RS01385
OG0000558	DR087_RS02820	NB623_RS01355
OG0000559	DR087_RS02085	NB623_RS01825
OG0000560	DR087_RS01645	NB623_RS02290
OG0000561	DR087_RS01990	NB623_RS01240
OG0000562	DR087_RS01640	NB623_RS02280
OG0000563	DR087_RS01655	NB623_RS02295
OG0000564	DR087_RS03320	NB623_RS01405
OG0000565	DR087_RS01590	NB623_RS02220
OG0000566	DR087_RS01600	NB623_RS02240
OG0000567	DR087_RS01625	NB623_RS02265
OG0000568	DR087_RS02180	NB623_RS00685
OG0000569	DR087_RS02825	NB623_RS01360
OG0000570	DR087_RS04705	NB623_RS01365
OG0000571	DR087_RS02835	NB623_RS01370
OG0000572	DR087_RS02855	NB623_RS01390
OG0000573	DR087_RS02080	NB623_RS01820
OG0000574	DR087_RS03300	NB623_RS01425
OG0000575	DR087_RS02810	NB623_RS01350
OG0000576	DR087_RS02035	NB623_RS01775
