Orthogroup	MHP_MHP691_genes	MHP_168L_genes
OG0000488	DR087_RS00085	MHP168L_RS02270
OG0000489	DR087_RS00480	MHP168L_RS00050
OG0000490	DR087_RS00420	MHP168L_RS03655
OG0000491	DR087_RS01180	MHP168L_RS01440
OG0000492	DR087_RS01105	MHP168L_RS01515
OG0000493	DR087_RS02915	MHP168L_RS00565
OG0000495	DR087_RS01395	MHP168L_RS02865
OG0000496	DR087_RS01385	MHP168L_RS02855
OG0000497	DR087_RS01380	MHP168L_RS02850
OG0000498	DR087_RS03245	MHP168L_RS02770
OG0000499	DR087_RS01235	MHP168L_RS02735
OG0000500	DR087_RS01530	MHP168L_RS02020
OG0000501	DR087_RS00985	MHP168L_RS03065
OG0000502	DR087_RS02785	MHP168L_RS01285
OG0000503	DR087_RS02255	MHP168L_RS00905
OG0000505	DR087_RS02625	MHP168L_RS00725
OG0000506	DR087_RS02635	MHP168L_RS00715
OG0000507	DR087_RS02670	MHP168L_RS00685
OG0000508	DR087_RS01770	MHP168L_RS00230
OG0000509	DR087_RS01805	MHP168L_RS00265
OG0000510	DR087_RS01815	MHP168L_RS00275
OG0000511	DR087_RS03045	MHP168L_RS00410
OG0000512	DR087_RS02975	MHP168L_RS02585
OG0000513	DR087_RS00655	MHP168L_RS03410
OG0000514	DR087_RS01420	MHP168L_RS02890
OG0000515	DR087_RS01610	MHP168L_RS03985
OG0000515	DR087_RS01610	MHP168L_RS01655
OG0000516	DR087_RS04410	MHP168L_RS02100
OG0000517	DR087_RS00495	MHP168L_RS00065
OG0000518	DR087_RS00945	MHP168L_RS03105
OG0000519	DR087_RS02280	MHP168L_RS00880
OG0000520	DR087_RS02535	MHP168L_RS00750
OG0000521	DR087_RS01785	MHP168L_RS00245
OG0000522	DR087_RS01820	MHP168L_RS00280
OG0000523	DR087_RS00590	MHP168L_RS03350
