Orthogroup	MHP_J_genes	MHP_F72C_genes
OG0000451	MHJ_RS00345	EHI52_RS00380
OG0000452	MHJ_RS00370	EHI52_RS00405
OG0000453	MHJ_RS00405	EHI52_RS00440
OG0000455	MHJ_RS03480	EHI52_RS03510
OG0000456	MHJ_RS03365	EHI52_RS03390
OG0000457	MHJ_RS03340	EHI52_RS03365
OG0000458	MHJ_RS02470	EHI52_RS02510
OG0000460	MHJ_RS02505	EHI52_RS02545
OG0000461	MHJ_RS02550	EHI52_RS02590
OG0000462	MHJ_RS02545	EHI52_RS02585
OG0000463	MHJ_RS02540	EHI52_RS02580
OG0000464	MHJ_RS02535	EHI52_RS02575
OG0000465	MHJ_RS02530	EHI52_RS02570
OG0000466	MHJ_RS00375	EHI52_RS00410
OG0000467	MHJ_RS02640	EHI52_RS02670
OG0000468	MHJ_RS01920	EHI52_RS01970
OG0000469	MHJ_RS01980	EHI52_RS01910
OG0000470	MHJ_RS03785	EHI52_RS03650
OG0000471	MHJ_RS00895	EHI52_RS00920
OG0000472	MHJ_RS03300	EHI52_RS03340
OG0000473	MHJ_RS03465	EHI52_RS03495
OG0000474	MHJ_RS03470	EHI52_RS03500
OG0000475	MHJ_RS03475	EHI52_RS03505
OG0000476	MHJ_RS01525	EHI52_RS01615
OG0000477	MHJ_RS02580	EHI52_RS02615
OG0000478	MHJ_RS03410	EHI52_RS03440
OG0000479	MHJ_RS01300	EHI52_RS01390
OG0000480	MHJ_RS03770	EHI52_RS03665
OG0000481	MHJ_RS00790	EHI52_RS00815
OG0000482	MHJ_RS01185	EHI52_RS01275
OG0000483	MHJ_RS02025	EHI52_RS01865
OG0000484	MHJ_RS00175	EHI52_RS00205
OG0000485	MHJ_RS01140	EHI52_RS01240
OG0000486	MHJ_RS02255	EHI52_RS02315
OG0000487	MHJ_RS01960	EHI52_RS01930
OG0000488	MHJ_RS01995	EHI52_RS01895
OG0000489	MHJ_RS00050	EHI52_RS00050
OG0000490	MHJ_RS03570	EHI52_RS03610
OG0000491	MHJ_RS01320	EHI52_RS01410
OG0000492	MHJ_RS01395	EHI52_RS01485
OG0000493	MHJ_RS00565	EHI52_RS00595
OG0000494	MHJ_RS00625	EHI52_RS00655
OG0000495	MHJ_RS02805	EHI52_RS02825
OG0000496	MHJ_RS02795	EHI52_RS02815
OG0000497	MHJ_RS02790	EHI52_RS02810
OG0000498	MHJ_RS02700	EHI52_RS02730
OG0000499	MHJ_RS02665	EHI52_RS02695
OG0000500	MHJ_RS01880	EHI52_RS02005
OG0000501	MHJ_RS03040	EHI52_RS03080
OG0000502	MHJ_RS01175	EHI52_RS01265
OG0000503	MHJ_RS00735	EHI52_RS00760
OG0000504	MHJ_RS00870	EHI52_RS00895
OG0000505	MHJ_RS00905	EHI52_RS01000
OG0000506	MHJ_RS00915	EHI52_RS01010
OG0000507	MHJ_RS00950	EHI52_RS01045
OG0000508	MHJ_RS00230	EHI52_RS00260
