Orthogroup	MHP_NCTC10127_genes	MHP_MHP709_genes
OG0000487	EXC50_RS00950	DR088_RS04335
OG0000488	EXC50_RS00985	DR088_RS00650
OG0000489	EXC50_RS00050	DR088_RS01900
OG0000490	EXC50_RS02450	DR088_RS01840
OG0000491	EXC50_RS02740	DR088_RS02625
OG0000492	EXC50_RS02665	DR088_RS02700
OG0000493	EXC50_RS03505	DR088_RS03050
OG0000494	EXC50_RS03445	DR088_RS00740
OG0000495	EXC50_RS01675	DR088_RS00250
OG0000496	EXC50_RS01665	DR088_RS00240
OG0000497	EXC50_RS01660	DR088_RS00235
OG0000498	EXC50_RS01580	DR088_RS00155
OG0000499	EXC50_RS01545	DR088_RS00120
OG0000500	EXC50_RS00875	DR088_RS00540
OG0000501	EXC50_RS01905	DR088_RS01405
OG0000502	EXC50_RS02885	DR088_RS00900
OG0000503	EXC50_RS03325	DR088_RS02770
OG0000504	EXC50_RS03190	DR088_RS01730
OG0000505	EXC50_RS03155	DR088_RS01695
OG0000506	EXC50_RS03145	DR088_RS01685
OG0000507	EXC50_RS03110	DR088_RS01650
OG0000508	EXC50_RS00260	DR088_RS01265
OG0000509	EXC50_RS00295	DR088_RS01230
OG0000510	EXC50_RS00305	DR088_RS01220
OG0000511	EXC50_RS03655	DR088_RS01085
OG0000512	EXC50_RS01400	DR088_RS03135
OG0000513	EXC50_RS02270	DR088_RS02190
OG0000514	EXC50_RS01700	DR088_RS00275
OG0000515	EXC50_RS02525, EXC50_RS00520	DR088_RS00445
OG0000516	EXC50_RS00955	DR088_RS04340
OG0000517	EXC50_RS00065	DR088_RS01915
OG0000518	EXC50_RS01945	DR088_RS01450
OG0000519	EXC50_RS03300	DR088_RS02745
OG0000520	EXC50_RS03175	DR088_RS01715
OG0000521	EXC50_RS00275	DR088_RS01250
OG0000522	EXC50_RS00310	DR088_RS01215
