Orthogroup	MHP_KM014_genes	MHP_133A_genes
OG0000396	CIB43_RS03350	NB626_RS02605
OG0000403	CIB43_RS00220	NB626_RS03325
OG0000404	CIB43_RS00250	NB626_RS03360
OG0000405	CIB43_RS00265	NB626_RS03375
OG0000409	CIB43_RS00345	NB626_RS03445
OG0000412	CIB43_RS00390	NB626_RS03490
OG0000417	CIB43_RS03185	NB626_RS02445
OG0000428	CIB43_RS01785	NB626_RS01040
OG0000429	CIB43_RS01885	NB626_RS01135
OG0000434	CIB43_RS01985	NB626_RS01245
OG0000436	CIB43_RS02030	NB626_RS01280
OG0000437	CIB43_RS02065	NB626_RS01290
OG0000441	CIB43_RS03910	NB626_RS03180
OG0000451	CIB43_RS01085	NB626_RS00370
OG0000453	CIB43_RS01315	NB626_RS00525
OG0000457	CIB43_RS00450	NB626_RS03565
OG0000459	CIB43_RS03460	NB626_RS02720
OG0000463	CIB43_RS03515	NB626_RS02765
OG0000464	CIB43_RS03500	NB626_RS02760
OG0000466	CIB43_RS01115	NB626_RS00400
OG0000468	CIB43_RS02870	NB626_RS02095
OG0000471	CIB43_RS01790	NB626_RS01045
OG0000473	CIB43_RS00580	NB626_RS03705
OG0000474	CIB43_RS00585	NB626_RS03710
OG0000475	CIB43_RS00595	NB626_RS03715
OG0000482	CIB43_RS02080	NB626_RS01325
OG0000485	CIB43_RS02035	NB626_RS01285
OG0000486	CIB43_RS03205	NB626_RS02465
OG0000487	CIB43_RS02915	NB626_RS02150
OG0000488	CIB43_RS02940	NB626_RS02180
OG0000489	CIB43_RS00750	NB626_RS00050
OG0000491	CIB43_RS02220	NB626_RS01465
OG0000492	CIB43_RS02290	NB626_RS01545
OG0000502	CIB43_RS02070	NB626_RS01315
OG0000504	CIB43_RS01770	NB626_RS01015
OG0000517	CIB43_RS00765	NB626_RS00065
OG0000519	CIB43_RS01660	NB626_RS00900
OG0000523	CIB43_RS00445	NB626_RS03560
OG0000526	CIB43_RS02720	NB626_RS01960, NB626_RS01955
OG0000527	CIB43_RS02640	NB626_RS01900
OG0000530	CIB43_RS03250	NB626_RS02505
OG0000543	CIB43_RS01215	NB626_RS00510
OG0000544	CIB43_RS02125	NB626_RS01370
OG0000545	CIB43_RS02715	NB626_RS01945
OG0000546	CIB43_RS03705	NB626_RS02970
OG0000552	CIB43_RS00225	NB626_RS03335
OG0000553	CIB43_RS03610	NB626_RS02870
OG0000554	CIB43_RS03295	NB626_RS02560
OG0000557	CIB43_RS02130	NB626_RS01380
OG0000558	CIB43_RS02100	NB626_RS01350
OG0000559	CIB43_RS02575	NB626_RS01815
OG0000560	CIB43_RS02680	NB626_RS01930
OG0000561	CIB43_RS01980	NB626_RS01230
OG0000562	CIB43_RS02685	NB626_RS01935
OG0000563	CIB43_RS02670	NB626_RS01925
OG0000564	CIB43_RS02155	NB626_RS01410
OG0000565	CIB43_RS02760	NB626_RS02000
OG0000566	CIB43_RS02740	NB626_RS01980
OG0000568	CIB43_RS01555	NB626_RS00785
OG0000569	CIB43_RS02105	NB626_RS01355
OG0000570	CIB43_RS02110	NB626_RS01360
OG0000571	CIB43_RS02115	NB626_RS01365
OG0000572	CIB43_RS02135	NB626_RS01385
OG0000573	CIB43_RS02570	NB626_RS01810
OG0000574	CIB43_RS02175	NB626_RS01425
OG0000575	CIB43_RS02090	NB626_RS01345
OG0000576	CIB43_RS02530	NB626_RS01765
OG0000577	CIB43_RS03580	NB626_RS02840
OG0000579	CIB43_RS02660	NB626_RS01910
OG0000580	CIB43_RS03710	NB626_RS02975
OG0000581	CIB43_RS02645	NB626_RS01905
OG0000584	CIB43_RS01255	NB626_RS00475
OG0000585	CIB43_RS03105	NB626_RS02365
OG0000588	CIB43_RS02525	NB626_RS01755
OG0000589	CIB43_RS03055	NB626_RS02290
OG0000590	CIB43_RS01190	NB626_RS00485
OG0000595	CIB43_RS03920	NB626_RS03190
OG0000597	CIB43_RS03915	NB626_RS03185
OG0000600	CIB43_RS01175, CIB43_RS00040	NB626_RS00470
OG0000603	CIB43_RS00060, CIB43_RS01270, CIB43_RS01170	NB626_RS00465
OG0000608	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690	NB626_RS01940
OG0000613	CIB43_RS02785	NB626_RS02020
OG0000616	CIB43_RS01280	NB626_RS00445
OG0000620	CIB43_RS04010	NB626_RS02005
OG0000624	CIB43_RS00230	NB626_RS03340
OG0000642	CIB43_RS03975	NB626_RS00495
