Orthogroup	MFC_MF33_genes	MFC_ATCC27716_genes
OG0000271	DR085_RS02505	MFC_RS02725
OG0000272	DR085_RS02510	MFC_RS02730
OG0000273	DR085_RS02515	MFC_RS02735
OG0000274	DR085_RS02530	MFC_RS02755
OG0000275	DR085_RS03820	MFC_RS03455
OG0000276	DR085_RS02540	MFC_RS02765
OG0000277	DR085_RS03825	MFC_RS02775
OG0000278	DR085_RS02555	MFC_RS02780
OG0000279	DR085_RS02565	MFC_RS02790
OG0000280	DR085_RS02570	MFC_RS02795
OG0000281	DR085_RS02575	MFC_RS03255
OG0000282	DR085_RS02600	MFC_RS02820
OG0000283	DR085_RS02605	MFC_RS02825
OG0000284	DR085_RS02610	MFC_RS02830
OG0000285	DR085_RS03840	MFC_RS02835
OG0000286	DR085_RS00925	MFC_RS02865
OG0000287	DR085_RS00900	MFC_RS02890
OG0000288	DR085_RS00890	MFC_RS02900
OG0000289	DR085_RS00885	MFC_RS02905
OG0000290	DR085_RS03270	MFC_RS03030
OG0000291	DR085_RS00785	MFC_RS03040
OG0000292	DR085_RS00790	MFC_RS03045
OG0000293	DR085_RS00795	MFC_RS03050
OG0000294	DR085_RS00805	MFC_RS03060
OG0000295	DR085_RS00810	MFC_RS03065
OG0000296	DR085_RS00850	MFC_RS03110
OG0000297	DR085_RS00855	MFC_RS03115
OG0000298	DR085_RS00010	MFC_RS02395
OG0000299	DR085_RS00030	MFC_RS02415
OG0000300	DR085_RS00205	MFC_RS02595
OG0000301	DR085_RS00240	MFC_RS02630
OG0000302	DR085_RS00245	MFC_RS02635
OG0000303	DR085_RS00380	MFC_RS00835
OG0000304	DR085_RS00415	MFC_RS00865
OG0000305	DR085_RS00565	MFC_RS01010
OG0000306	DR085_RS00650	MFC_RS01090
OG0000307	DR085_RS00685	MFC_RS01130
OG0000308	DR085_RS00765	MFC_RS03020
OG0000309	DR085_RS00820	MFC_RS03075
OG0000310	DR085_RS00895	MFC_RS02895
OG0000311	DR085_RS00945	MFC_RS01220
OG0000312	DR085_RS00965	MFC_RS01240
OG0000313	DR085_RS02700	MFC_RS01290
OG0000314	DR085_RS02785	MFC_RS01360
OG0000315	DR085_RS02755	MFC_RS01390
OG0000316	DR085_RS02745	MFC_RS01400
OG0000317	DR085_RS02870	MFC_RS00110
OG0000318	DR085_RS03900	MFC_RS00020
OG0000319	DR085_RS01915	MFC_RS00420
OG0000320	DR085_RS01850	MFC_RS00485
OG0000321	DR085_RS01785	MFC_RS00550
OG0000322	DR085_RS01740	MFC_RS00595
OG0000323	DR085_RS01610	MFC_RS00725
OG0000324	DR085_RS02115	MFC_RS01775
OG0000325	DR085_RS02075	MFC_RS01815
OG0000326	DR085_RS01980	MFC_RS01905
OG0000327	DR085_RS01975	MFC_RS01910
OG0000328	DR085_RS01045	MFC_RS01995
OG0000329	DR085_RS01065	MFC_RS02020
OG0000330	DR085_RS01250	MFC_RS02200
OG0000331	DR085_RS01370	MFC_RS02315
OG0000332	DR085_RS01470	MFC_RS01505
OG0000333	DR085_RS01480	MFC_RS01515
OG0000334	DR085_RS01545	MFC_RS01585
OG0000335	DR085_RS03720	MFC_RS01595
OG0000336	DR085_RS03835	MFC_RS02805
OG0000337	DR085_RS02220	MFC_RS00280
OG0000338	DR085_RS02260	MFC_RS00240
OG0000339	DR085_RS01830	MFC_RS00505
OG0000340	DR085_RS01805	MFC_RS00530
OG0000341	DR085_RS02135	MFC_RS01755
OG0000342	DR085_RS02045	MFC_RS01845
OG0000343	DR085_RS01490	MFC_RS01525
