Orthogroup	MHP_ES2_genes	MHP_NCTC10127_genes
OG0000469	E5E95_RS02145	EXC50_RS00970
OG0000470	E5E95_RS03895	EXC50_RS03950
OG0000471	E5E95_RS00920	EXC50_RS03165
OG0000472	E5E95_RS03540	EXC50_RS02165
OG0000473	E5E95_RS03715	EXC50_RS02340
OG0000474	E5E95_RS03720	EXC50_RS02345
OG0000475	E5E95_RS03725	EXC50_RS02350
OG0000476	E5E95_RS01570	EXC50_RS02535
OG0000477	E5E95_RS02820	EXC50_RS01465
OG0000478	E5E95_RS03660	EXC50_RS02285
OG0000479	E5E95_RS01345	EXC50_RS02760
OG0000480	E5E95_RS03865	EXC50_RS03895
OG0000481	E5E95_RS00815	EXC50_RS03270
OG0000482	E5E95_RS01230	EXC50_RS02875
OG0000483	E5E95_RS02190	EXC50_RS01015
OG0000484	E5E95_RS00195	EXC50_RS00205
OG0000485	E5E95_RS01185	EXC50_RS02920
OG0000486	E5E95_RS02420	EXC50_RS01155
OG0000487	E5E95_RS02125	EXC50_RS00950
OG0000488	E5E95_RS02160	EXC50_RS00985
OG0000489	E5E95_RS00050	EXC50_RS00050
OG0000490	E5E95_RS03830	EXC50_RS02450
OG0000491	E5E95_RS01365	EXC50_RS02740
OG0000492	E5E95_RS01440	EXC50_RS02665
OG0000493	E5E95_RS00580	EXC50_RS03505
OG0000494	E5E95_RS00640	EXC50_RS03445
OG0000495	E5E95_RS03035	EXC50_RS01675
