Orthogroup	MHP_154B_genes	MHP_112B_genes
OG0000373	NB624_RS03745	NBX26_RS03795
OG0000374	NB624_RS03735	NBX26_RS03785
OG0000375	NB624_RS02360	NBX26_RS02375
OG0000376	NB624_RS02515	NBX26_RS02525
OG0000377	NB624_RS02505	NBX26_RS02515
OG0000378	NB624_RS01285	NBX26_RS01415
OG0000379	NB624_RS01360	NBX26_RS01495
OG0000380	NB624_RS01390	NBX26_RS01530
OG0000381	NB624_RS01425	NBX26_RS01565
OG0000382	NB624_RS01455	NBX26_RS01595
OG0000383	NB624_RS01495	NBX26_RS01635
OG0000384	NB624_RS00510	NBX26_RS00515
OG0000385	NB624_RS00515	NBX26_RS00525
OG0000386	NB624_RS00535	NBX26_RS00540
OG0000387	NB624_RS00560	NBX26_RS00565
OG0000388	NB624_RS00565	NBX26_RS00570
OG0000389	NB624_RS01065	NBX26_RS00615
OG0000390	NB624_RS03060	NBX26_RS03075
OG0000391	NB624_RS03050	NBX26_RS03065
OG0000392	NB624_RS03025	NBX26_RS03040
OG0000393	NB624_RS02970	NBX26_RS02985
OG0000394	NB624_RS02900	NBX26_RS02905
OG0000395	NB624_RS02890	NBX26_RS02900
OG0000396	NB624_RS02575	NBX26_RS02590
OG0000397	NB624_RS01925	NBX26_RS02180
OG0000398	NB624_RS01930	NBX26_RS02175
OG0000399	NB624_RS01975	NBX26_RS02130
OG0000400	NB624_RS03215	NBX26_RS03225
OG0000401	NB624_RS03275	NBX26_RS03290
OG0000402	NB624_RS03285	NBX26_RS03300
OG0000403	NB624_RS03295	NBX26_RS03310
OG0000404	NB624_RS03330	NBX26_RS03345
OG0000405	NB624_RS03350	NBX26_RS03360
OG0000406	NB624_RS03400	NBX26_RS03415
OG0000407	NB624_RS03405	NBX26_RS03420
OG0000408	NB624_RS03410	NBX26_RS03425
OG0000409	NB624_RS03415	NBX26_RS03430
OG0000410	NB624_RS03480	NBX26_RS03505
OG0000411	NB624_RS03465	NBX26_RS03490
OG0000412	NB624_RS03460	NBX26_RS03485
OG0000413	NB624_RS01510	NBX26_RS01650
OG0000414	NB624_RS01520	NBX26_RS01660
OG0000415	NB624_RS01525	NBX26_RS01665
OG0000416	NB624_RS01535	NBX26_RS01675
OG0000417	NB624_RS02425	NBX26_RS02440
OG0000418	NB624_RS02415	NBX26_RS02430
OG0000419	NB624_RS00965	NBX26_RS00720
OG0000420	NB624_RS00930	NBX26_RS00755
OG0000421	NB624_RS00895	NBX26_RS00795
OG0000422	NB624_RS00885	NBX26_RS00800
OG0000423	NB624_RS00830	NBX26_RS00855
OG0000424	NB624_RS00825	NBX26_RS00860
OG0000425	NB624_RS00815	NBX26_RS00870
OG0000426	NB624_RS00810	NBX26_RS00875
OG0000427	NB624_RS00785	NBX26_RS00900
OG0000428	NB624_RS00760	NBX26_RS00925
OG0000429	NB624_RS00665	NBX26_RS01150
OG0000430	NB624_RS00620	NBX26_RS01195
OG0000431	NB624_RS00610	NBX26_RS01205
OG0000432	NB624_RS01100	NBX26_RS01235
OG0000433	NB624_RS01115	NBX26_RS01260
OG0000435	NB624_RS01135	NBX26_RS01270
OG0000437	NB624_RS01170	NBX26_RS01305
OG0000438	NB624_RS01175	NBX26_RS01310
OG0000439	NB624_RS01180	NBX26_RS01315
OG0000440	NB624_RS03110	NBX26_RS03125
OG0000441	NB624_RS03150	NBX26_RS03165
OG0000442	NB624_RS00145	NBX26_RS00135
OG0000443	NB624_RS00190	NBX26_RS00185
OG0000444	NB624_RS00205	NBX26_RS00200
OG0000445	NB624_RS00230	NBX26_RS00225
OG0000446	NB624_RS00255	NBX26_RS00250
OG0000447	NB624_RS00260	NBX26_RS00255
OG0000448	NB624_RS00290	NBX26_RS00290
OG0000449	NB624_RS00315	NBX26_RS00310
OG0000450	NB624_RS00325	NBX26_RS00320
OG0000451	NB624_RS00365	NBX26_RS00360
OG0000452	NB624_RS00390	NBX26_RS00385
OG0000453	NB624_RS00425	NBX26_RS00420
OG0000455	NB624_RS03655	NBX26_RS03710
OG0000456	NB624_RS03535	NBX26_RS03590
OG0000457	NB624_RS03510	NBX26_RS03565
OG0000458	NB624_RS02670	NBX26_RS02675
OG0000459	NB624_RS02695	NBX26_RS02700
OG0000460	NB624_RS02705	NBX26_RS02710
OG0000461	NB624_RS02755	NBX26_RS02755
OG0000462	NB624_RS02750	NBX26_RS02750
OG0000463	NB624_RS02745	NBX26_RS02745
OG0000464	NB624_RS02740	NBX26_RS02740
OG0000465	NB624_RS02735	NBX26_RS02735
OG0000466	NB624_RS00395	NBX26_RS00390
OG0000467	NB624_RS02845	NBX26_RS02855
OG0000468	NB624_RS01970	NBX26_RS02135
OG0000469	NB624_RS02030	NBX26_RS02075
OG0000470	NB624_RS00835	NBX26_RS00850
OG0000471	NB624_RS00755	NBX26_RS00930
OG0000472	NB624_RS03485	NBX26_RS03515
OG0000473	NB624_RS03640	NBX26_RS03695
OG0000474	NB624_RS03645	NBX26_RS03700
OG0000475	NB624_RS03650	NBX26_RS03705
OG0000476	NB624_RS01550	NBX26_RS01685
OG0000477	NB624_RS02785	NBX26_RS02780
OG0000478	NB624_RS03585	NBX26_RS03640
OG0000479	NB624_RS01320	NBX26_RS01450
OG0000480	NB624_RS02035	NBX26_RS02070
OG0000481	NB624_RS00860	NBX26_RS00825
OG0000482	NB624_RS01200	NBX26_RS01335
OG0000483	NB624_RS02180	NBX26_RS02020
OG0000484	NB624_RS00200	NBX26_RS00195
OG0000485	NB624_RS01165	NBX26_RS01300
OG0000486	NB624_RS02445	NBX26_RS02460
OG0000487	NB624_RS02015	NBX26_RS02095
OG0000488	NB624_RS02050	NBX26_RS02055
OG0000489	NB624_RS00050	NBX26_RS00050
OG0000490	NB624_RS03750	NBX26_RS03800
OG0000492	NB624_RS01415	NBX26_RS01555
OG0000493	NB624_RS00575	NBX26_RS00580
OG0000494	NB624_RS01040	NBX26_RS00640
